DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
0.20500000000000002,-101.50208799290455,-103.48546791260799,-105.85988607636165,0.6503868822793155
0.21,-101.3962697741598,-103.36434370144096,-105.78063817077707,0.6480651381506727
0.215,-101.47299247640612,-103.74737864145872,-105.36987086216952,0.6925384677185071
0.22,-100.81437283513065,-103.68864180807233,-103.96510273432595,0.7694864795858565
0.225,-101.66850717328973,-104.2332343340239,-105.17537621116203,0.7312701524975164
0.23,-101.11290894362176,-103.71028617794893,-104.57955685196184,0.735442242157221
0.23500000000000001,-100.91652654890692,-103.21170505866286,-104.78337109013322,0.6954154836768472
0.24,-101.30827427274113,-104.55305252697275,-104.09610969887046,0.8116897825828079
0.245,-101.45348691728982,-104.11511288364704,-104.84291718112017,0.7435513196057573
0.25,-101.12873098065472,-103.60899256915226,-104.74286957325961,0.7203115549219651
0.255,-101.16696854753056,-103.84419156974552,-104.53802815888955,0.7455001274576407
0.26,-100.19907535010685,-103.67797812442932,-102.7864464002119,0.8366289787176435
0.265,-100.716958879039,-103.70261485473846,-103.75204345699316,0.7825528396865001
0.27,-100.09116428336006,-103.00854858240635,-103.19641133384265,0.7745847571606652
0.275,-100.89068582619647,-103.18857752694802,-104.75363707845842,0.695789666791327
0.28,-99.5997271052415,-103.06009281467436,-102.20225373457654,0.8346992681485418
0.28500000000000003,-100.36508469896033,-103.18549434985974,-103.57395883740466,0.7630438009110869
0.29,-100.27686069289149,-102.89539489327026,-103.71780244775832,0.7381271563393978
0.295,-100.77492851891749,-103.4670071908463,-104.12862355279303,0.7473492401495694
0.3,-100.21775505737574,-102.72257614317668,-103.80021294921508,0.7235229376017028
0.305,-101.04762424564984,-104.2676398053764,-103.85787073244518,0.8089776225311334
0.31,-100.19594937389002,-103.5479619144215,-102.88947331288836,0.8232675568971171
0.315,-100.45165843620111,-103.71926821990614,-103.21904464059062,0.8141774432451035
0.32,-100.00260483899442,-103.38629340920633,-102.66909252335061,0.8266367313655496
0.325,-100.16548056099657,-102.99599217972828,-103.36333432643366,0.764258550396693
0.33,-100.14225844851771,-102.67974924232276,-103.6832019086749,0.7277628467229281
0.335,-100.53940829492538,-104.14036337676094,-103.02985138178273,0.8491509220082656
0.34,-100.33886823965425,-103.28517979587554,-103.41411351033642,0.7779764147281669
0.34500000000000003,-100.26637085775731,-103.32871088678736,-103.22524694452923,0.791353885834618
0.35000000000000003,-100.39814760844352,-103.63098822301608,-103.19675660781941,0.8103841388561998
0.355,-100.36662288351712,-103.98861124209515,-102.84084811765271,0.8512772756940317
0.36,-100.34582448561616,-103.44506138834609,-103.26897230141233,0.795533971792542
0.365,-99.97384811978007,-102.75296693497876,-103.22833064623967,0.7580476783961518
0.37,-100.78471537802271,-103.40837814091233,-104.21946742030103,0.738775818748665
0.375,-100.50575201266916,-103.22927781530166,-103.82310970755623,0.7512410504578299
0.38,-100.2655073848812,-103.2328747151727,-103.31916862379741,0.7804307684227684
0.385,-100.88417024283711,-103.66282626902164,-104.13916914805688,0.7579913974488781
0.39,-100.75132189378868,-103.67856919693304,-103.84629378476006,0.775743759970468
0.395,-100.66145142974236,-103.85287508997862,-103.49788004378028,0.8058276342198296
0.4,-100.83814321711947,-103.90008228759869,-103.79741085883461,0.7913082683023136
0.405,-100.93094463436196,-103.85154953501862,-104.03283125967684,0.7749635059906077
0.41000000000000003,-100.27762609599698,-102.86611820074855,-103.75515275415484,0.7343103449801033
0.41500000000000004,-100.50474499940253,-102.68691898001845,-104.53919110175407,0.6795718875659824
0.42,-101.59152241689856,-104.59881048823246,-104.60483634907322,0.7850512869916623
0.425,-100.90596994805838,-103.20317389043693,-104.76990753782202,0.6956948431980833
