DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.016,-104.63591598389445,-110.85124361933957,-105.82228719443641,2.081642183316925,-104.58924460967106
0.0165,-104.42905096479187,-110.60320962915206,-105.6284354004874,2.0843069701107115,-104.5874942573765
0.017,-104.19565727447521,-110.05952998597087,-105.49856962526228,2.1049395918327662,-104.58109950369965
0.0175,-105.03253634508914,-110.58086937658547,-106.45149189390733,2.1269677333073833,-104.57707796212065
0.018000000000000002,-103.96210013153123,-110.06096328059178,-105.18571005964998,2.0892240150681083,-104.57619743572756
0.0185,-103.2842354433288,-107.66250652341098,-105.25580873487469,2.2193932665190266,-104.57109191678175
0.019,-103.25212602205548,-108.41042711933721,-104.83170781877976,2.1557795947528327,-104.56456192473405
0.0195,-103.46474132099476,-108.60560727353973,-105.05199336086987,2.157110977381406,-104.56259379556766
0.02,-104.0964070698453,-108.72321055834833,-105.93136571865834,2.19818084462146,-104.55949799928017
0.0205,-103.32321693660539,-108.3279327763992,-104.97192309399756,2.1676417642585544,-104.5520616776598
0.021,-103.25114400745943,-108.30179185504139,-104.87880428115203,2.1640622350132928,-104.5475118059646
0.021500000000000002,-104.01495674444085,-108.46751523742746,-105.94441579619597,2.212953730999294,-104.54555237741373
0.022,-102.49305791830656,-106.27374851697768,-104.84925622938758,2.2745592536347434,-104.53912215327117
0.0225,-103.49213430580204,-108.19300055288056,-105.28865200924085,2.192037857157677,-104.53193490277458
0.023,-102.51153701230348,-107.6568591637784,-104.09682441593185,2.156770326870739,-104.52923228651777
0.0235,-101.9641222870729,-107.21773337700547,-103.5025464673507,2.1485689258862495,-104.52477396913451
0.024,-103.34811015594747,-108.91938126519626,-104.75823427078667,2.125329108314715,-104.51635538863364
0.0245,-102.90156381180387,-106.59742834153327,-105.31991082286282,2.2829183860863176,-104.51126568502819
0.025,-102.60349070950457,-106.88419908449625,-104.63212657088425,2.227983353043914,-104.5081736519996
0.025500000000000002,-102.7635131390469,-108.30732774799999,-104.18421596742037,2.1272912228919405,-104.50045608157347
0.026000000000000002,-102.82223317721333,-107.74361858568723,-104.50996277509363,2.1742069451280126,-104.49264720473953
0.0265,-102.21938373716391,-105.98841276263212,-104.58400204753985,2.2757000816964856,-104.4891556219305
0.027,-102.50042370284291,-107.68749465240174,-104.06744520463619,2.15359105712479,-104.48332546071163
0.0275,-102.65848082297191,-107.094478881676,-104.59723070488496,2.214381798231122,-104.47398351371893
0.028,-102.9014890942986,-106.70062376331455,-105.24444936827464,2.2727602765379795,-104.46833489301721
0.0285,-102.40768677440047,-106.55188327239087,-104.51968462935696,2.2402646254081544,-104.4640606596399
0.029,-103.01116511691662,-108.15444147452523,-104.5973541036598,2.1569266846565642,-104.4550987145122
0.029500000000000002,-102.59321943670153,-106.29266329887099,-105.00890119709184,2.2825627910153474,-104.4466969983408
0.03,-103.30857144291923,-108.33810758803733,-104.94586472799415,2.165704064802959,-104.44235966530798
0.0305,-102.92644917808344,-107.784857238038,-104.64441184529602,2.1792305666823144,-104.43515631712299
0.031,-102.15922893023269,-106.3494333161243,-104.24265845419555,2.2360907167400237,-104.42494833417382
0.0315,-102.60686427417133,-107.25946841330048,-104.42831833385208,2.196031820257346,-104.41871447406457
0.032,-103.30736439214388,-107.60718132178447,-105.3246632433563,2.226288825400108,-104.41321351725742
0.0325,-102.50175589313847,-107.52016006040662,-104.14415611035122,2.1665721289913975,-104.403054958058
0.033,-102.41260119173714,-106.78403797076479,-104.38810602283354,2.2199900462201265,-104.39408179010798
0.0335,-102.66783530638905,-107.22787749168563,-104.53831268194295,2.203787118126694,-104.38884071334797
0.034,-102.35503436697856,-106.84855980597999,-104.26174563855396,2.209439170484356,-104.38027082707006
0.0345,-102.94062540675259,-109.16552121461041,-104.12399534805536,2.0810252295362885,-104.36925147958104
0.035,-103.17368226952647,-108.39826037271371,-104.72450712605003,2.1507534348131383,-104.36239934833299
0.035500000000000004,-103.309552741421,-108.50628990084263,-104.87238091968324,2.1528580757445677,-104.35563305317048
0.036000000000000004,-102.28272410845062,-106.72842028356875,-104.21602638860816,2.213544978310502,-104.34432949268208
0.0365,-103.10316333002659,-108.55756728730549,-104.55896640071606,2.133740806278316,-104.33479848679369
0.037,-104.30045866584763,-108.01681333049943,-106.70359990568825,2.2808862067902176,-104.32859558186064
0.0375,-103.70461959192093,-107.92371999035305,-105.77035489599521,2.2334874429795053,-104.31867362420309
0.038,-102.81811136968578,-108.59545480387712,-104.15170928110237,2.1108719992203233,-104.30689389218566
0.0385,-104.13716957444973,-109.74900286291765,-105.5318337841375,2.122446079436122,-104.29938442734854
0.039,-103.34696065703616,-107.7844556930826,-105.28486841996865,2.214252533504128,-104.29132078668312
0.0395,-103.67049984198722,-108.46202296634462,-105.42129265306527,2.1846254723805854,-104.27892667015045
0.04,-103.97910723953272,-110.16567246657011,-105.17455293880766,2.083502166668267,-104.26884346503317
0.0405,-104.29936990861282,-110.13594928960356,-105.61187196503846,2.1068021775661205,-104.26162167364805
0.041,-104.8298287863833,-109.58022858304831,-106.60118527505368,2.187973424964914,-104.25036958585886
0.0415,-103.90849611951737,-109.33548885211388,-105.37526366266988,2.135736727657527,-104.23787580888308
0.042,-104.69063032959309,-110.05703441082613,-106.18198061221518,2.1401799161252235,-104.22966472256216
0.0425,-104.57022940849984,-110.56607514986078,-105.8278996193288,2.096043642028297,-104.22027889340426
0.043000000000000003,-104.3215264827969,-109.93213465626262,-105.71665472072124,2.122532884752778,-104.2068504230279
0.043500000000000004,-104.06279163393614,-108.32887950616526,-106.1001556537475,2.2292839059573337,-104.196212649423
0.044,-103.74453935782418,-109.05004758329169,-105.2610890328302,2.144689877461157,-104.18791703027068
0.0445,-103.77414369046832,-109.03160961998364,-105.31093025122155,2.1482796612487847,-104.17536373066835
0.045,-104.40276067486417,-109.68874539536442,-105.92749589648807,2.1461452971496078,-104.16219675951771
0.0455,-104.09475002674945,-108.61634137804774,-105.9860682254253,2.207046199211776,-104.1532354477051
0.046,-105.7374474938981,-112.96150630856162,-106.64988200794839,2.021177147675293,-104.14251015732798
0.0465,-105.14396869644816,-110.38584021704949,-106.68739288313562,2.149450983572716,-104.12810418630572
0.047,-103.56393272622736,-109.76082370948882,-104.75611156660848,2.082833496773237,-104.11690159810854
0.0475,-103.63462398214318,-110.16619050821765,-104.72622829292882,2.061713383007476,-104.10748036840975
0.048,-104.27476105221353,-109.88799324314363,-105.66889563004209,2.122346981077743,-104.09366111585491
0.0485,-104.48753020455166,-109.84658703028407,-105.98189444982876,2.1407216888937675,-104.07985558054004
0.049,-105.53686300520575,-109.79619317375727,-107.57827713836697,2.2298862142270495,-104.07009211431344
0.0495,-104.70760616973413,-111.59847233937657,-105.70177024812465,2.0401740023071877,-104.05801791090965
0.05,-105.47446683539235,-111.17350957717379,-106.83655759278365,2.1163099299868833,-104.0426908314032
0.0505,-105.68340387836541,-111.19674160266513,-107.11595829549705,2.1294792809209846,-104.03090559445205
0.051000000000000004,-105.35535083842278,-112.96814238059116,-106.18170856282822,2.00011996761656,-104.02031110111497
0.051500000000000004,-105.76362421760281,-111.29444897772999,-107.1893643064877,2.1282225127413894,-104.00526673563131
0.052000000000000005,-105.54891148029911,-113.83661359617405,-106.24619936382827,1.9661522610642357,-103.99085044312767
0.0525,-105.2758313625944,-111.37805284615494,-106.4983489047712,2.0890035012976926,-103.98023061931815
0.053,-105.60395735228852,-113.78281159573831,-106.32048474116509,1.9714207816495637,-103.96680596455552
0.0535,-105.88254699920496,-112.32583491200876,-106.9997111454237,2.0671821492798084,-103.95061261306984
0.054,-104.91368677522944,-113.91655421026175,-105.4976256902293,1.933385528670508,-103.93821974307444
0.0545,-105.82503421712424,-111.27277507923617,-107.28349361724781,2.134225162237771,-103.92640934415903
0.055,-106.38872337699476,-113.16451533076288,-107.4129882806323,2.0469497753601784,-103.91018542235406
0.0555,-106.02734256732644,-112.82273250811684,-107.04640967396423,2.0457877892533443,-103.89517889478675
0.056,-107.03350613684984,-112.9222969397523,-108.32773410124793,2.103245985852589,-103.8836473234521
0.0565,-105.89360963828389,-112.24175802377518,-107.0390830739419,2.0731569994197114,-103.86887852710517
0.057,-106.1054651955786,-112.5246346702657,-107.22972999443445,2.0686887882030462,-103.8518711297307
0.0575,-106.50152638344949,-113.49865562545452,-107.46877119789934,2.0340165052457255,-103.83883906841167
0.058,-106.00534933808015,-113.35639673801938,-106.88862238245596,2.014171199971992,-103.82577590781477
0.0585,-105.63021428522781,-113.5492395475964,-106.39503907442318,1.9843171846191665,-103.8084217521728
0.059000000000000004,-103.9415538494142,-110.94833542786984,-104.906394072703,2.0334618507887083,-103.79283791329988
0.059500000000000004,-104.39494998622399,-110.01451719163468,-105.78668903547326,2.1218984834410155,-103.78033911925085
0.06,-105.45775156038277,-113.17925467564551,-106.26166604688764,1.9944332427892868,-103.7642401190286
0.0605,-105.40747114801569,-113.50363203628147,-106.13899984066367,1.9754757102657445,-103.7464672976968
0.061,-105.6975070238071,-112.42241362304182,-106.7354073450735,2.0499823766754006,-103.73275861385227
0.0615,-104.51765961615331,-109.02177721545557,-106.41854338856241,2.2085346487417348,-103.71841227454489
0.062,-105.75808587307692,-111.26232454602703,-107.1942011169795,2.130134609541821,-103.6999799568866
0.0625,-105.33419972581359,-111.59914601867649,-106.50510069625585,2.078452440204166,-103.68382397171568
0.063,-105.12392097310183,-111.82141778921475,-106.16925058919134,2.0516252799608585,-103.67030348754652
0.0635,-105.5425219964551,-111.9720807309437,-106.66372185850973,2.0680391243330134,-103.6528954801699
0.064,-104.53168575263105,-111.17653743484163,-105.59145307211611,2.054799322834801,-103.6344013394721
0.0645,-105.34610906941072,-111.03820592851218,-106.71076140523544,2.1167955574313306,-103.6199735395079
0.065,-104.89445559058879,-110.6485940019036,-106.23642468254126,2.1124766103805213,-103.60432056330153
0.0655,-104.08472979792572,-110.72112343989302,-105.1468375778213,2.0553115601214307,-103.58486384362674
0.066,-104.6095635428328,-110.60844578111939,-105.8662143351757,2.095841084511449,-103.56813311290773
0.0665,-104.0687397412671,-109.09215906327591,-105.70883683062719,2.1661808496915467,-103.55353854153766
0.067,-105.30024777514828,-110.64262765251945,-106.80147993351324,2.141953818086443,-103.53484947395124
0.0675,-104.80202170637898,-109.42200550263863,-106.64057040779377,2.1987505082098533,-103.51567278615913
0.068,-104.14589237812473,-111.0688395303602,-105.13184228782295,2.0383050813105363,-103.50047921670159
0.0685,-103.68214559862074,-109.22993448421657,-105.10131143584798,2.127006678247589,-103.48350348135172
0.069,-104.03444121967163,-110.3056703250793,-105.20339979157073,2.078050249619259,-103.46307672384236
0.0695,-104.17391858212406,-108.99818068462936,-105.90854743496936,2.1819770238385736,-103.44576103207868
0.07,-103.55738733020333,-108.70059725974761,-105.14360560210955,2.156931762570255,-103.43004305773906
0.07050000000000001,-103.90499637776844,-108.36414575784045,-105.83077311995797,2.212386555121996,-103.41010698999482
0.07100000000000001,-103.16029889744388,-107.46470299525524,-105.17488800616263,2.2258829226233656,-103.3902804937178
0.07150000000000001,-103.94417307614354,-107.95203334801678,-106.1437902042957,2.252847478340465,-103.37427131733496
0.07200000000000001,-103.40831342124632,-107.77216350555689,-105.38819405346754,2.2206533931918626,-103.35596426475819
0.0725,-104.1436205518338,-109.3630270321992,-105.69666677982488,2.1511436549673335,-103.33462135288251
0.073,-102.74021776269169,-107.0592641188327,-104.74618773745064,2.2245895567100136,-103.31670316545843
0.0735,-102.55089149942181,-106.83541451396259,-104.57725779878389,2.2276445997981837,-103.29981649336136
0.074,-103.23582948542607,-108.66905438984497,-104.70009564523858,2.135282163163063,-103.27867284712842
0.0745,-102.99160267698502,-108.55624019198139,-104.40427416921116,2.1258023759102667,-103.25822267258101
0.075,-103.41081005601498,-107.63154242225035,-105.47555168638655,2.23334083305071,-103.24134589641014
0.0755,-103.18755590417709,-107.87784780214173,-104.98950134683847,2.1929100689233127,-103.22170660884237
0.076,-103.21642368348813,-108.52577973320646,-104.73136624466864,2.1444035805791644,-103.19949988125731
0.0765,-101.94433057781455,-105.93034804590467,-104.15841208141215,2.2548938730865338,-103.1809547833489
0.077,-102.33895239603959,-107.27467891655913,-104.01988744518788,2.1730704768724904,-103.16285898993038
0.0775,-102.50033331835414,-105.92367171101293,-105.13348815125632,2.3107704807608824,-103.140551698712
0.078,-102.61799502509908,-107.34013084403797,-104.40365552759039,2.190288317636431,-103.11949692988155
0.0785,-101.9121007471523,-106.60796526030981,-103.7111833130315,2.1924502185625654,-103.10169946613183
0.079,-101.95884415070182,-106.90635898199736,-103.63421881183933,2.1721383737597395,-103.08073459013363
0.0795,-102.40651610010761,-107.27827472564647,-104.11801531491247,2.178161098893055,-103.05771381842483
0.08,-102.09043496775307,-106.76276741851746,-103.90164486253738,2.1943951216321524,-103.03851108560576
0.0805,-102.49008406903081,-106.58118643133386,-104.63566823736281,2.2451263274243147,-103.01917136322311
0.081,-102.24925602184251,-106.17384335633125,-104.50467349700943,2.2606953419381495,-102.99574794215404
0.0815,-102.08505298540102,-105.7585988715468,-104.52010580414843,2.285141455200845,-102.97410032331155
0.082,-102.14265815232488,-105.86791241011804,-104.53923377457052,2.280006154445966,-102.9553290601955
0.0825,-101.85701680887036,-105.53318696346224,-104.29009752669532,2.284879543810885,-102.93305258145544
0.083,-101.79032997180323,-105.70027785744094,-104.05574375518691,2.2620880745015253,-102.90926400969794
