DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
0.545,-102.3868613907448,-108.58799661622527,-103.5777004009378,-2.082558953602239
0.55,-103.25354613614917,-108.38416178206009,-104.84532834676826,-2.157895510631954
0.555,-103.62299794249816,-109.02808332332316,-105.09859841511928,-2.1373382492138986
0.56,-103.61436289432093,-108.94326666731766,-105.12117207516296,-2.1429519064364015
0.5650000000000001,-103.82733875978234,-109.21306752320463,-105.31079596446993,-2.1387580297557776
0.5700000000000001,-104.64614112424316,-109.33992512342506,-106.4462918834999,-2.192621849648355
0.5750000000000001,-104.14354265007103,-108.66700798049543,-106.03383851517987,-2.206886844695695
0.58,-105.02738969017255,-108.99693829776763,-107.25245727601218,-2.2564424711453044
0.585,-104.41663036443293,-108.92582172137935,-106.31473049418423,-2.2081019782480498
0.59,-104.8039445367239,-109.07172452446035,-106.84029599275583,-2.2291332064307086
0.595,-104.4999368256955,-108.94533371032266,-106.43340693867057,-2.2135707813338326
0.6,-104.72731497331964,-108.38484530342933,-107.17444864621562,-2.286742875521106
0.605,-104.65006265861274,-108.48537189907393,-106.96733710531036,-2.2692508734691357
0.61,-104.28124447229584,-109.21568351690155,-105.9627881534301,-2.1731723905879474
0.615,-104.48476704672062,-109.45114317163024,-106.15129111973005,-2.170650872602884
0.62,-103.99226933965673,-109.31798113808027,-105.50040309319752,-2.143188636437125
0.625,-102.89694284824094,-107.5360988339234,-104.72542069554052,-2.1971507494535163
0.63,-103.11287019412251,-108.75061226178117,-104.49776323319135,-2.120614262116384
0.635,-102.85208171546165,-108.6549501660231,-104.17654146466472,-2.1091136794834826
0.64,-101.72207146547217,-108.20514787828543,-102.82763243258528,-2.06470841902309
0.645,-103.00688095873198,-108.47986857141495,-104.45530544208658,-2.1323926578359145
0.65,-102.88861421619333,-109.50625505765163,-103.95593197538892,-2.056449545340097
0.655,-102.70051322891814,-108.60898024148553,-103.98793097297937,-2.101913272259924
0.66,-102.35854655288665,-109.53149530892773,-103.28301766196509,-2.02403269755473
0.665,-101.84176146552988,-108.05648056808946,-103.02832384988207,-2.0816814516003803
0.67,-102.12496450186259,-109.01565679198708,-103.119173309249,-2.040184155543195
0.675,-101.8979314032802,-107.99436889999093,-103.12233103479855,-2.0893833576950844
0.68,-101.84962815259694,-107.67612066192355,-103.1656949783334,-2.107492543910417
0.685,-101.79441058253978,-109.05714305676537,-102.69785279427626,-2.019030166519741
0.6900000000000001,-102.20647847453046,-107.95863341130642,-103.54916593086871,-2.112614037170675
0.6950000000000001,-102.25182883414229,-107.71244639778442,-103.70515989952445,-2.1332895926143234
0.7000000000000001,-103.02767059641684,-109.19017245206378,-104.2307692802727,-2.085064519460429
0.705,-103.53736553025756,-109.09498699764912,-104.95273713444692,-2.1263034740846063
0.71,-103.56566552068182,-108.72687942908877,-105.14397019976259,-2.155557541416118
0.715,-103.2423657310946,-109.09759278667764,-104.54830698722957,-2.105528744007198
0.72,-103.82822399041649,-107.91723829544361,-105.97514279133635,-2.2453185205085924
0.725,-105.11646649191789,-110.14647763095309,-106.75354229207832,-2.1656670611766904
0.73,-104.99694288903122,-110.22869631821011,-106.54469197597214,-2.150212576654667
0.735,-105.25089536696102,-109.6519588872566,-107.20942709440257,-2.2174083345000266
0.74,-104.96074994556025,-108.65153035189107,-107.3828893044677,-2.2834239170933155
0.745,-104.61931062652157,-108.70445809548113,-106.76870378967722,-2.245674639556131
0.75,-104.44582320345998,-109.02816116656622,-106.30434545896043,-2.201907482377555
0.755,-104.30805336664994,-108.91297652448102,-106.15456093061773,-2.2000109789230375
0.76,-104.66175923482268,-110.09259446187795,-106.12698393589328,-2.1354564083258856
0.765,-104.22381463886397,-109.61959928527617,-105.70318407823993,-2.1380198897775853
0.77,-104.78982033933033,-110.07269137914784,-106.3158658597113,-2.146377842622382
0.775,-102.87128159145986,-108.31838011697175,-104.32999736881786,-2.134271882659717
0.78,-103.11758651309472,-108.62646380670509,-104.5518851801584,-2.12980040911641
0.785,-102.78310902448803,-109.8566500805384,-103.73149938258436,-2.0296466124925177
0.79,-103.1097160143819,-110.46548210627444,-103.99192551564502,-2.0139132864880307
0.795,-101.9622059439822,-108.35885240141124,-103.09314797625939,-2.070100665817798
0.8,-102.40752243997326,-109.53913218808809,-103.34185802471454,-2.0263575858553873
0.805,-101.7690206977244,-107.66917056766772,-103.0593120583505,-2.1024761151011573
0.81,-102.23221176514173,-110.02473037942686,-103.02182634664322,-1.9907644169593433
0.8150000000000001,-102.0114915012054,-108.2526220066614,-103.189788890803,-2.0799804589743793
0.8200000000000001,-101.86831176552879,-108.73014678791475,-102.86997515323822,-2.0418727469721403
0.8250000000000001,-101.32991062256619,-108.31824208727498,-102.29935296470708,-2.0345227252746474
0.8300000000000001,-102.4949816320148,-108.8421404534619,-103.64075377152682,-2.0732195927500303
0.835,-102.8794361499464,-109.13396938735323,-104.05356454247695,-2.0791198654383294
0.84,-102.89097245629205,-109.91780134915166,-103.85083976022864,-2.0323123233246494
0.845,-102.30889626620352,-108.15114913505953,-103.61939819023432,-2.1064143487129434
0.85,-102.72914326750248,-108.38842710625548,-104.10597293580875,-2.1190969165467166
0.855,-103.1820780322474,-108.68078737977201,-104.62036220220222,-2.130533307605921
0.86,-102.97165712053842,-107.3104378454377,-104.96608321182386,-2.222851863736146
0.865,-103.4516791422969,-109.06484287658347,-104.84583963269962,-2.122351830039657
0.87,-103.95590151363335,-109.04023195194395,-105.56833311529353,-2.1614547676559277
0.875,-104.21420279684746,-109.19326264148764,-105.87480673826985,-2.1696532308690846
0.88,-104.3515960489527,-108.98162573417187,-106.18485934417461,-2.1979115911849827
0.885,-104.19317935854036,-108.42250601995562,-106.25269798474844,-2.232569483970109
0.89,-105.24573080847297,-109.699254120728,-107.17465027406487,-2.212870661980855
0.895,-104.86641640497967,-108.75185719230869,-107.1486921166322,-2.2644284462543958
0.9,-104.29405086245607,-108.66314463877725,-106.27090578831925,-2.2201948105063485
0.905,-103.8523358204828,-108.93599208046928,-105.46507055552675,-2.161506813968918
0.91,-103.32275667691228,-108.29214145386926,-104.9878741648498,-2.1704140328101063
0.915,-103.37915440530621,-107.64424425539184,-105.41711593840758,-2.229372811649149
0.92,-104.12658510586765,-109.45348469253119,-105.63422580235554,-2.1431005307808113
0.925,-103.40192038847027,-109.20308741100973,-104.72698699713554,-2.1092306661985383
0.93,-103.76118190056859,-108.44693308020592,-105.56546420923343,-2.1932850979373404
0.935,-103.12911839858442,-107.78846468537233,-104.94706356036718,-2.1954718432911515
0.9400000000000001,-103.31287361596443,-109.14311072785816,-104.62761576557226,-2.10723612892225
0.9450000000000001,-102.48556552326974,-107.55011963532722,-104.10691765941267,-2.1629839305205567
0.9500000000000001,-102.61229360350521,-109.41768409535831,-103.62871976328285,-2.0451961221109447
0.9550000000000001,-102.8574596497611,-109.50419354174923,-103.9167069259775,-2.054685418711981
0.96,-101.73143520611336,-108.71814652531954,-102.70128283871458,-2.0346160175944963
0.965,-102.73325736971177,-109.36685918422212,-103.79613896662612,-2.055480779118043
0.97,-101.81917590606888,-109.29309272516201,-102.67521097824256,-2.007510964598321
0.975,-101.60530960646041,-108.44198718759219,-102.6135229027334,-2.0433506172133873
0.98,-102.08281407899602,-108.44064360955383,-103.22536989029557,-2.072545123013919
0.985,-102.54612017249927,-108.6333181227686,-103.77353322347193,-2.0899908499945865
0.99,-102.37375698455554,-109.2223034457337,-103.37887417933395,-2.042652709329804
0.995,-103.19625978322334,-108.9062791581705,-104.55431386931548,-2.115543571612283
1.0,-102.46997400098779,-108.54601606964764,-103.70103682447343,-2.0907254830855093
