DriveAmplitude,Amplitude_AU,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(AU)
0.6900000000000001,2.0167731209150807e-07,-120.89655915274577,-128.74037616936556,-121.67601725658032,1.9881365204027657,1.9454883348708943e-07
0.6950000000000001,2.402668466955308e-07,-119.37582307010527,-125.75960886544323,-120.51059800431557,2.070908981758946,1.9386355765009236e-07
0.7000000000000001,1.7148461245497432e-07,-122.30519691738331,-131.0000627602436,-122.9353162840588,1.9471152327291137,1.9585991816808784e-07
0.705,2.559109737133386e-07,-118.82792185817092,-125.36793904000672,-119.91711431433251,2.061193618723019,1.9983658298424367e-07
0.71,1.9606144811107594e-07,-121.14185592304972,-127.94320388004041,-122.15934871041783,2.0454351887524314,2.0439652862023176e-07
0.715,2.0121510086101318e-07,-120.916488629548,-129.1785360517307,-121.6182601758463,1.967387029053953,2.0793782194668847e-07
0.72,2.2430469918974688e-07,-119.97293260016284,-127.50983922336678,-120.81536400389177,2.0041408285428797,2.092163878027887e-07
0.725,2.560732952178095e-07,-118.82241424082204,-125.21772660665104,-119.95375319198111,2.0701844437036727,2.0778305921013787e-07
0.73,2.2609377828300173e-07,-119.90392781410341,-127.62143002315855,-120.7086563303431,1.9946410138262098,2.041413721187505e-07
0.735,2.2058882895769862e-07,-120.11802974028598,-125.27546723384833,-121.69799041964338,2.1558454507445566,1.9957067055247364e-07
0.74,1.9197249638061854e-07,-121.32491979488677,-126.25520584425888,-123.00842854505674,2.173501284100122,1.9567666625612896e-07
0.745,1.6957430538570484e-07,-122.40249910789345,-127.52007282660867,-124.00006760549769,2.1588956406872732,1.9382734362825128e-07
0.75,2.2111107813689502e-07,-120.09748999927608,-128.07627412425063,-120.85090107546925,1.9813104221995073,1.9467237953364757e-07
0.755,1.9304757042983513e-07,-121.27641323838373,-126.13636428670381,-122.99362738537305,2.179106838456147,1.97914908368993e-07
0.76,2.222921654052411e-07,-120.05121691454738,-126.81011468533512,-121.0799864020966,2.0479541171200646,2.0241581252655513e-07
0.765,2.0760889715499931e-07,-120.64478081488733,-127.67055640094297,-121.60490868883146,2.0323726383271508,2.0659390046203446e-07
0.77,2.2915441537813842e-07,-119.78713544924032,-126.6823285935803,-120.78018717574112,2.0399214223052646,2.0898138768510374e-07
0.775,2.2349128898271038e-07,-120.00448803721966,-130.48509902915097,-120.41180244563986,1.8746561393182875,2.0873953724934343e-07
0.78,2.2554487088552758e-07,-119.92504093820061,-125.65394979402825,-121.27618095682655,2.1142278550208826,2.0595331249781147e-07
0.785,2.1746723236941496e-07,-120.24182349554542,-129.39471515358971,-120.80459196664617,1.926897327022392,2.01601528989208e-07
0.79,1.541794071702553e-07,-123.22917261439912,-128.63883063019068,-124.70292425699407,2.1370035016365976,1.972129913915606e-07
0.795,1.854289238507379e-07,-121.62615048613031,-127.82725372662328,-122.8169995869623,2.082561021924087,1.94329416279656e-07
0.8,1.7690164924946227e-07,-122.03506240646568,-129.86779174113445,-122.81670358461369,1.9887029426340948,1.9396381891102544e-07
0.805,1.8213820355330911e-07,-121.78167906790952,-128.98257004267342,-122.69954800838336,2.022468976959086,1.962446355837237e-07
0.81,2.0858054746766643e-07,-120.60422398277544,-126.15767209774823,-122.0212045616253,2.1266018081301636,2.0037060328242784e-07
0.8150000000000001,1.7407213365659406e-07,-122.17511499066444,-128.28194278939344,-123.39613602797783,2.0887012267533827,2.0489224763290964e-07
0.8200000000000001,2.625050631333922e-07,-118.60694635559211,-127.50315528778304,-119.20645297666877,1.938076817403824,2.0822109095090227e-07
0.8250000000000001,2.12291302387125e-07,-120.45105601521263,-128.17216376984007,-121.25505090214374,1.9944537691322752,2.0918769289232195e-07
0.8300000000000001,2.0952788168387488e-07,-120.56486359700271,-132.40026343374933,-120.8592238815427,1.829672288848043,2.0745248105949638e-07
0.835,1.9422188801308292e-07,-121.22373661249239,-131.3693160280053,-121.66543319386237,1.887011701053158,2.0362504458864904e-07
0.84,2.3228481865973003e-07,-119.66928350880671,-124.24839107193507,-121.52953208935246,2.202179361038386,1.9904998224753602e-07
0.845,2.1744318788015277e-07,-120.24278391300439,-125.78945919746243,-121.66238022189235,2.1270863900828596,1.9533453774434803e-07
0.85,1.8855634039399023e-07,-121.48087723196139,-127.95943224570969,-122.58774983397868,2.064988787116029,1.9378396647357815e-07
0.855,1.3579363190739997e-07,-124.33211196292753,-129.08616051742175,-126.1016320550788,2.187675407692048,1.949429923609861e-07
0.86,1.9343463391929328e-07,-121.25901532542129,-128.9651310047557,-122.06606550660466,1.9952329584927087,1.9840444345430657e-07
0.865,2.3031336804779753e-07,-119.74331711552148,-127.25244750772191,-120.59171768680015,2.0056232748148393,2.029522935934248e-07
0.87,1.8180591411915836e-07,-121.79753991035636,-126.84924405514421,-123.42471999688098,2.16398024064334,2.069888588612921e-07
0.875,1.7319159147098783e-07,-122.219163983313,-128.1041235822639,-123.51472282221265,2.103505955038888,2.0909607243263717e-07
0.88,2.263612139988311e-07,-119.8936597546362,-124.54954490876591,-121.71340520120776,2.195759229163666,2.0853365898401288e-07
0.885,2.2418751946394403e-07,-119.97747140885102,-127.48390748481968,-120.82645346628922,2.0057673800190834,2.0549919734807906e-07
0.89,1.9567373860772693e-07,-121.15904918610839,-125.82344863362403,-122.97436989285343,2.1950525800345013,2.0105871001993334e-07
0.895,1.231046963516119e-07,-125.18420761825375,-140.0905020372352,-125.32685630613679,1.7515355246947528,1.967721637907005e-07
0.9,2.3236280487966757e-07,-119.66636783821372,-126.10628663719596,-120.78452081347584,2.0673922870584605,1.941454451255533e-07
0.905,2.0810793460445857e-07,-120.62392726284327,-124.62280603630276,-122.82947733499229,2.253687895987073,1.9410133424757327e-07
0.91,2.0264494024508824e-07,-120.8549847533649,-130.70090651826305,-121.33002183210539,1.8985185873211612,1.966553275425602e-07
0.915,1.6869411545122388e-07,-122.44770137576681,-128.33775914482527,-123.74148957239755,2.1031600489103828,2.0091019359636686e-07
0.92,2.031667390882422e-07,-120.83264784246018,-123.84929166579737,-123.83661318555978,2.355464658461588,2.053711753577678e-07
0.925,2.1900632922499143e-07,-120.18056672301726,-126.08132054497695,-121.47064916560402,2.1024352196615186,2.0847110623234672e-07
0.93,2.0846949840028555e-07,-120.6088496145241,-126.56902204990628,-121.87856776962512,2.0984304270363565,2.091209640336253e-07
0.935,2.491723911902255e-07,-119.05970164461195,-126.57819978138505,-119.90608388282679,2.005122664723907,2.070924502632558e-07
0.9400000000000001,2.1803869018364654e-07,-120.21902875453753,-128.23890504027403,-120.96469910656657,1.9792571080198686,2.0309819258646292e-07
0.9450000000000001,2.0908291854886008e-07,-120.58332896931134,-125.6750277936459,-122.19245193736182,2.160886312526994,1.9854139494698906e-07
0.9500000000000001,2.0600634006055154e-07,-120.71208831452645,-126.42510476236738,-122.06904264562405,2.115334554273768,1.9502288456629686e-07
0.9550000000000001,2.0235426722762018e-07,-120.86745269965918,-127.2818606405881,-121.99312537608716,2.0689868741918898,1.937787328353163e-07
0.96,1.9542791425906963e-07,-121.16996810413555,-126.8318107905486,-122.54584360769047,2.1189170213407142,1.952460168674417e-07
0.965,2.0877797421471986e-07,-120.59600645767254,-125.64729561795613,-122.22337517371527,2.1640124518104313,1.9890927198636264e-07
0.97,2.38544570244361e-07,-119.43830933158156,-126.03409140013717,-120.51173640266127,2.057779983040164,2.0348157720556626e-07
0.975,2.0322307550002128e-07,-120.8302396528802,-127.42308647385313,-121.9044900980149,2.057958963923924,2.0735665740843764e-07
0.98,2.0527853976486894e-07,-120.74282904901702,-126.77311306832021,-121.98899317250651,2.0937518788714518,2.0917317633102457e-07
0.985,1.9315253481005476e-07,-121.27169180494755,-128.9838239361241,-122.07751434417189,1.9949200684340846,2.0829298122447798e-07
0.99,2.0520218350305458e-07,-120.74606048978075,-126.04429470101994,-122.26565381132585,2.1452315911980455,2.0502528930629112e-07
0.995,1.9812884127454367e-07,-121.05074605054224,-127.70143439011802,-122.10890167310914,2.054446213281802,2.005180581088927e-07
1.0,2.1232366151503362e-07,-120.44973214376088,-127.22426595192891,-121.47433174903965,2.047024485588727,1.9635470189929275e-07
