DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.28,-105.76282059717252,-119.40656191412303,-105.95467311026974,1.3613891046592046,-105.95868522684101
0.28500000000000003,-104.71629781504438,-116.47167434078824,-105.0163257521879,1.3094685152832821,-105.8898510814418
0.29,-105.20970120568063,-116.64927347933613,-105.53322239497922,1.2995524668481813,-105.81930096837108
0.295,-105.26195215720509,-115.32007191998903,-105.71311706270372,1.251267933950724,-105.74786402788828
0.3,-105.1697263914266,-119.11851533555225,-105.34829421958106,1.3687177017266892,-105.67638091709895
0.305,-104.66144140980487,-117.43059300742769,-104.89727600998437,1.3388195215216814,-105.60569289079967
0.31,-105.27152073591463,-114.75294439007543,-105.79073174087169,1.228466553294729,-105.53663087457812
0.315,-104.75041682198909,-119.28257758700909,-104.90613192127222,1.3820081407241096,-105.4700046720978
0.32,-105.3411627284015,-116.76568868094691,-105.66584974988646,1.2990702761662651,-105.40659244675358
0.325,-104.84101564574267,-118.86586094326638,-105.01642004601328,1.3705034938637057,-105.34713061432083
0.33,-105.10278710401862,-122.56739433002222,-105.18135517125535,1.4364963465460423,-105.29230427788207
0.335,-104.19703636573036,-117.67794222626989,-104.39638958733964,1.3573656013195343,-105.24273832927078
0.34,-104.8572129638815,-117.51089379872892,-105.09958268125514,1.3356569174174797,-105.19898933261568
0.34500000000000003,-105.09198328181448,-120.60499082933009,-105.21576541512096,1.4023719993765826,-105.16153829540828
0.35000000000000003,-105.08179032544453,-119.17449694496185,-105.254420442102,1.3720831810033687,-105.13078442098939
0.355,-104.54888620025642,-116.81486096139894,-104.8145941193477,1.324706512714349,-105.107039923602
0.36,-105.48604289898996,-119.90879705997281,-105.6458045313645,1.3795857403615388,-105.09052597335554
0.365,-104.5362231622063,-120.54177712644659,-104.64656348503718,1.4117384869786993,-105.08136982377054
0.37,-104.07913450213908,-117.18312899913647,-104.2970227089047,1.3477436329121868,-105.07960315921149
0.375,-104.37988687558462,-116.97550162512738,-104.62561293166357,1.3340496840036915,-105.08516168367001
0.38,-104.28606989725242,-117.75113711458218,-104.48616852360912,1.3569700155209587,-105.09788595623701
0.385,-104.7758048837336,-117.12202981277443,-105.03649905802654,1.3270158535564585,-105.1175234624081
0.39,-104.44514611516412,-121.14236698959158,-104.53906429566958,1.4240052191801034,-105.14373189431487
0.395,-104.8258044597877,-120.66669304465277,-104.94046550373929,1.4086676404568714,-105.17608359727096
0.4,-105.01086996554852,-117.41055722009932,-105.26827819636394,1.3285417985823957,-105.214071124873
0.405,-103.98400487669933,-119.2839199873297,-104.11410617362696,1.398147376320614,-105.25711383049706
0.41000000000000003,-105.06758110777339,-117.08093028384637,-105.34973141951794,1.3172867587766413,-105.30456540956914
0.41500000000000004,-104.7321881637695,-120.19063663865157,-104.85755794656495,1.4013004905799127,-105.35572229463948
0.42,-104.63916372866305,-117.0675060592307,-104.8948283287582,1.3293555907579275,-105.40983279421243
0.425,-106.47532231695307,-121.56678946925959,-106.61192199572639,1.3939102047657326,-105.46610685662361
0.43,-105.4375033761793,-117.90774956569496,-105.69064003875988,1.330540528128732,-105.52372633213751
0.435,-105.0225641711639,-118.13620889861846,-105.23995644855034,1.347995495945363,-105.58185559996764
0.44,-105.48102456208994,-117.47260038618316,-105.7646403130162,1.31663643129074,-105.63965242218089
0.445,-104.95262334194635,-118.31197369428534,-105.15777086404329,1.3543101903630286,-105.69627888350266
0.45,-105.46530931180305,-117.79964153880138,-105.7267403021399,1.3266750489463692,-105.75091227492226
0.455,-105.38995248577834,-114.83386411023437,-105.91395051445534,1.2269237756562745,-105.80275577973005
0.46,-105.72474255948981,-118.27905396468593,-105.97288509983207,1.3328994933632805,-105.85104882318376
0.465,-105.73624609861854,-115.32893690799163,-106.24152881875061,1.232998807342728,-105.89507695137138
0.47000000000000003,-106.07196497874776,-115.92349219667462,-106.54635460242211,1.2432933951679879,-105.9341811109542
0.47500000000000003,-105.81820225144082,-115.11053700864423,-106.36202620116845,1.2206125777895338,-105.96776620925623
0.48,-105.65094686656543,-115.82139295520375,-106.08998973482935,1.2555161888016455,-105.99530884351412
0.485,-106.71338820372368,-115.78824312361743,-107.28706453966389,1.2113363790085219,-106.01636409889531
0.49,-106.31634076802918,-116.36729883302175,-106.76829039922544,1.2509950031114567,-106.03057132698737
0.495,-105.95153647886953,-114.0406257513138,-106.6843637673243,1.165768058560247,-106.03765882970656
0.5,-105.59744946420325,-114.48805476180164,-106.19778616784447,1.203267533605567,-106.03744738779032
0.505,-106.93858877286746,-115.47514252791461,-107.59395694913316,1.1871986993499994,-106.02985258804834
0.51,-105.94819727802452,-115.93504227176052,-106.40723631373633,1.2485405053143157,-106.01488591914946
0.515,-106.5760928500921,-116.3310993160058,-107.06176238772181,1.2394945976323004,-105.99265462171857
0.52,-105.46564665856314,-118.79177775004437,-105.67240747037737,1.3534673669967938,-105.96336029469802
0.525,-106.16946026247176,-116.48629108330935,-106.59321718684707,1.2609621362449983,-105.92729627608425
0.53,-105.34886359993689,-115.24120665560844,-105.81856680132495,1.2448856781873083,-105.88484383206914
0.535,-105.97765253165997,-115.11683403590777,-106.54232125260216,1.2141076854845105,-105.83646720409536
0.54,-105.51889859734813,-117.16834075649192,-105.82660356550797,1.3061853126919445,-105.78270757816816
0.545,-105.81407758706717,-116.01733191918899,-106.24964485774933,1.256745584276215,-105.72417605476592
0.55,-106.02469368075879,-114.62778264126396,-106.66932015167156,1.1902765435318368,-105.66154571067287
0.555,-105.05527754382243,-112.8036505873163,-105.85374834983126,1.148551813990261,-105.59554285585193
0.56,-105.16396509504511,-116.34404326460312,-105.50821621158167,1.2911088309855892,-105.52693759893144
0.5650000000000001,-105.44949367433287,-121.43816588113717,-105.56026927085311,1.411426399993925,-105.45653384385918
0.5700000000000001,-106.54438869657432,-115.61714318591207,-107.11836172758426,1.2112454934207468,-105.38515884766532
0.5750000000000001,-105.19716894103111,-118.84516042639801,-105.38882958938592,1.3614930694647476,-105.31365247497591
0.58,-104.85200270580174,-116.00672160523624,-105.19835241210224,1.290268950168256,-105.24285628885663
0.585,-104.93301589158455,-117.71019821440507,-105.16840277927928,1.3390378260080225,-105.17360261969128
0.59,-105.15543840013726,-119.6103612199937,-105.31399924483688,1.3803012821702427,-105.10670375408434
0.595,-105.18340530729235,-119.51121106554687,-105.34676546358384,1.3774576532961018,-105.04294138421564
0.6,-104.39539506821569,-117.73427179725721,-104.60153535917216,1.3537911429752865,-104.98305645469235
0.605,-105.00670660284202,-118.54265729627599,-105.20349130105187,1.3587345429754876,-104.92773953877752
0.61,-104.24563901694842,-115.54713438895403,-104.58002399062084,1.295093528603228,-104.87762186899805
0.615,-104.9034499921885,-118.65316300638808,-105.09057668843317,1.3639655215773465,-104.83326713863343
0.62,-104.10485724772913,-121.32233899192214,-104.1880700473231,1.4325959424725354,-104.7951641805716
0.625,-104.67220616851463,-120.27599414218926,-104.79339167987453,1.4041395996985608,-104.76372061862163
0.63,-104.4286019379392,-122.28797313798904,-104.50028664195469,1.4424972426024512,-104.73925757373932
0.635,-104.10113662183542,-117.30276028932224,-104.3140606382836,1.3502781614160122,-104.72200549391849
0.64,-104.79303748084496,-120.65366956862212,-104.9071715518697,1.409038997658538,-104.71210116190424
0.645,-105.56836123021475,-121.79854350971016,-105.67307193905167,1.4158324558445459,-104.70958591958399
0.65,-105.00379635001659,-119.4172054362562,-105.16390854726004,1.379377357855719,-104.71440513210759
0.655,-104.00570529507087,-119.57334025779501,-104.12791821811538,1.4034379346432277,-104.72640889868438
0.66,-104.07991874876942,-121.10490683173857,-104.16694080488358,1.4294784545701553,-104.7453540008102
0.665,-104.52969368956546,-117.63683707176213,-104.74741994643776,1.3478258485513337,-104.7709070626043
0.67,-104.67011431990882,-118.99791523461687,-104.83347466186066,1.3774575441201442,-104.80264888219128
0.675,-104.40176414481411,-119.23594080534366,-104.54684173453623,1.3885333903568802,-104.84007987785164
0.68,-104.82424573963472,-119.41556582011128,-104.9778163849001,1.3833048861681871,-104.88262657818527
0.685,-103.89082221198791,-117.25027647083681,-104.09596470814802,1.3543128213311502,-104.92964907197114
0.6900000000000001,-103.67777526377498,-118.48936671013749,-103.82362213009225,1.3880535034194905,-104.9804493209412
0.6950000000000001,-105.68754145149532,-120.11494771210671,-105.84712885967804,1.3796893891953883,-105.03428022747894
0.7000000000000001,-105.0703752716433,-114.7746687603945,-105.56208465001771,1.2374796803691028,-105.09035533944733
0.705,-104.8868691215925,-116.15043866430767,-105.22430391520516,1.2938553310739986,-105.14785906607716
0.71,-105.82663638218995,-118.11073635882508,-106.09120328065147,1.3252300817349891,-105.2059572722088
0.715,-105.33350230257543,-120.50728970802753,-105.46749714651739,1.3955960876714157,-105.26380811326774
0.72,-105.32737098063424,-117.69518181929976,-105.58673325426825,1.3276331683165905,-105.32057297022908
