DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)_dBm,C_fit,A_contrast_fit,A_pi_fit,Adec_fit
0.09,-96.65024702070063,-99.88930948596297,-99.443233846769,0.8110650611700502,-94.0876445292993,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.095,-96.33607439498579,-99.21359871434531,-99.4833376664773,0.7698732363244597,-94.2894512048037,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.1,-96.97972556873063,-99.87896300084984,-100.1040029684766,0.7724452705730089,-94.44731792463179,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.105,-96.63115356679334,-99.46171133983513,-99.82895710471924,0.7642640936235741,-94.54744402887502,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.11,-96.70413632067807,-99.59987328649021,-99.83210340639444,0.7720315154977889,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.115,-96.84160830249782,-99.71188716215579,-99.99659461353453,0.7690120190324495,-94.54811810845813,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.12,-96.39541070797313,-99.3890827976221,-99.42240243961237,0.783480135327766,-94.45254241626535,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.125,-96.43852391306405,-99.46114917878539,-99.43653344097211,0.7868151572742309,-94.3061950953817,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.13,-96.07780430789951,-99.10037992127103,-99.07586320808763,0.7868094569811149,-94.12463711482134,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.135,-96.2591388018832,-99.22491113073484,-99.31442765548974,0.78024526922713,-93.92549610725901,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.14,-95.77499381067955,-98.71102739452935,-98.86085225740561,0.7767739786585964,-93.72646956708383,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.145,-96.50799289697301,-99.17894044275407,-99.8864266729704,0.7447169405575588,-93.54375549165957,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.15,-95.73694534395315,-98.65001785436573,-98.84669936451371,0.7740772329745313,-93.3910050681453,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.155,-96.12573468592697,-98.92278241775578,-99.36030139616352,0.7602231901218983,-93.2787393979617,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.16,-95.90672949681178,-98.89499638363942,-98.93917487390766,0.7828550560343064,-93.21410099015175,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.165,-96.17905626148564,-99.36265064935925,-99.02271215306891,0.8049616026857705,-93.20080544916664,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.17,-95.82997872210618,-98.63013926491104,-99.06110528537161,0.7605999377751916,-93.23919067551913,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.17500000000000002,-95.70141090685341,-98.675515641044,-98.74821028329828,0.7812135722587902,-93.3263068930182,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.18,-96.05995554160575,-98.94844563473976,-99.19558068942663,0.7711738451463278,-93.45603825592546,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.185,-95.96589801405455,-99.05716446940802,-98.89671336355464,0.7946339462587078,-93.61929018912352,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.19,-95.56014357325071,-98.45028466895882,-98.69402172730373,0.7713693714738967,-93.80431210333813,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.195,-95.9134250937605,-99.00856677677666,-98.84050904348824,0.7950717406368129,-93.99724564830386,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.2,-95.7583739590963,-98.63861293900852,-98.90275047938225,0.7701955272884963,-94.18298190718284,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.20500000000000002,-95.59255612876333,-98.7169502752083,-98.49168271253242,0.798364153245624,-94.3463624457201,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.21,-95.55236783523162,-98.85144864529036,-98.29189780629498,0.817586243062123,-94.47366270565725,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.215,-95.43772510227723,-98.83131911816028,-98.09583287014917,0.8276856516116994,-94.55416905396653,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.22,-95.88273778795067,-98.89052040430508,-98.89555654487084,0.7851082598588678,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
