Delay_us,I,Q,Magnitude_linear,Phase_rad,Fit_on_data,A_fit,T2_echo_fit_us,C_fit,p_fit
10.25795,-1.8600134617185313e-06,-2.2641981005461407e-06,2.930229191768266e-06,-2.258503566000779,3.024556846042794e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
10.5079,-1.603170074810263e-06,-2.1648973374105524e-06,2.6938698502886966e-06,-2.208208632171942,3.0245567610599157e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
10.75785,-1.8304604139902425e-06,-2.251994189896518e-06,2.902079109623479e-06,-2.253304132850102,3.024556676454621e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
11.0078,-1.7380367908229926e-06,-2.077513761360389e-06,2.708659320567295e-06,-2.2674561995858555,3.0245565922252323e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
11.25775,-1.8495908117650974e-06,-2.233975454345177e-06,2.9002814521322947e-06,-2.262341385074246,3.0245565083700793e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
11.5077,-1.8516453007227946e-06,-2.222593379193803e-06,2.892837992167024e-06,-2.2653976143741894,3.0245564248874992e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
11.75765,-1.7540869669889226e-06,-2.2504309151101987e-06,2.8532893984740006e-06,-2.2328774207509854,3.024556341775837e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
12.007599999999998,-1.7641672668835748e-06,-2.305612192888685e-06,2.903124821557012e-06,-2.2239308244556972,3.0245562590334443e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
12.257549999999998,-1.8872796533545029e-06,-2.248110778933764e-06,2.9352728262163415e-06,-2.269160488835209,3.024556176658681e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
12.507499999999999,-1.8371763445382798e-06,-2.30169052339792e-06,2.944995108048709e-06,-2.2444299779636734,3.0245560946499127e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
12.757449999999999,-1.884494225556762e-06,-2.262811034197593e-06,2.944763532551156e-06,-2.2652263411786535,3.024556013005514e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
13.007399999999999,-1.8304080752238222e-06,-2.168135082776842e-06,2.837464265680243e-06,-2.2719319703212637,3.024555931723866e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
13.257349999999999,-1.822820577066413e-06,-2.3150137977894926e-06,2.946517222100095e-06,-2.2378013060861446,3.024555850803357e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
