# freq_Hz, phase_rad_detrended, phase_rad
7.132916666666666985e+09,7.315778994500021781e-02,-5.251526360672180260e+00
7.132980000000000000e+09,7.302560905425892201e-02,-5.275523138138151324e+00
7.133043333333333015e+09,7.619654192398694903e-02,-5.296216801843653066e+00
7.133106666666666985e+09,6.074289766502527499e-02,-5.335535042678178463e+00
7.133170000000000000e+09,8.859823744465167294e-02,-5.331544299473447879e+00
7.133233333333333015e+09,3.036213542114918340e-02,-5.413644998072173031e+00
7.133296666666666985e+09,4.395008459811755586e-02,-5.423921645470768382e+00
7.133360000000000000e+09,4.233081690177975531e-02,-5.449405509742001996e+00
7.133423333333333015e+09,5.243014111907307040e-02,-5.463170782099938450e+00
7.133486666666666985e+09,6.481415577349203261e-02,-5.474651364021076105e+00
7.133550000000000000e+09,7.788975313978419024e-02,-5.485440363229679761e+00
7.133613333333333015e+09,5.874950844047965859e-02,-5.528445204504214061e+00
7.133676666666666985e+09,6.836886928873031621e-02,-5.542690440231527127e+00
7.133740000000000000e+09,5.734629826826154186e-02,-5.577577607827225670e+00
7.133803333333333015e+09,6.453974196946532516e-02,-5.594248760700910594e+00
7.133866666666666985e+09,5.785770008160984190e-02,-5.624795399164329801e+00
7.133930000000000000e+09,4.871549620195292363e-02,-5.657802199619216488e+00
7.133993333333333015e+09,3.364470769967642383e-02,-5.696737584696388801e+00
7.134056666666666985e+09,5.904142144549862081e-02,-5.695205467526123222e+00
7.134120000000000000e+09,5.333215562498772044e-02,-5.724779329921863891e+00
7.134183333333333015e+09,6.069779844133726954e-02,-5.741278283680410155e+00
7.134246666666666985e+09,4.156209174421121588e-02,-5.784278586953099932e+00
7.134310000000000000e+09,4.756525745259132520e-02,-5.802140017819949591e+00
7.134373333333333015e+09,5.434449586188616621e-02,-5.819225375985877413e+00
7.134436666666666985e+09,7.375757337588773055e-02,-5.823676895047105617e+00
7.134500000000000000e+09,6.805214882191457093e-02,-5.853246916176308545e+00
7.134563333333333015e+09,4.226647021879603727e-02,-5.902897191354656847e+00
7.134626666666666985e+09,5.666282251184018293e-02,-5.912365435636835365e+00
7.134690000000000000e+09,5.250885871687671624e-02,-5.940383996007028600e+00
7.134753333333333015e+09,5.357550097596863736e-02,-5.963181950323166447e+00
7.134816666666666985e+09,2.961265037844906800e-02,-6.011009397495915785e+00
7.134880000000000000e+09,2.799861470074116454e-02,-6.036488029748846351e+00
7.134943333333333015e+09,1.988179453649774331e-02,-6.068469446488319541e+00
7.135006666666666985e+09,6.254189839248169847e-02,-6.049673939207899309e+00
7.135070000000000000e+09,5.405795488964315609e-02,-6.082022479285633665e+00
7.135133333333333015e+09,6.963766945909366513e-02,-6.090307361291409372e+00
7.135196666666666985e+09,5.859861703211599604e-02,-6.125211010293950764e+00
7.135260000000000000e+09,4.565633158484239118e-02,-6.162017892316116630e+00
7.135323333333333015e+09,5.100136011449674101e-02,-6.180537460361692048e+00
7.135386666666666985e+09,5.445951913456426041e-02,-6.200943897917184700e+00
7.135450000000000000e+09,5.010393347300023947e-02,-6.229164080153644534e+00
7.135513333333333015e+09,3.549707752505160130e-02,-6.267635532676819388e+00
7.135576666666666985e+09,4.930112050441692872e-02,-6.277696086273017784e+00
7.135640000000000000e+09,6.037789455444908526e-02,-6.290483908798215396e+00
