# freq_Hz, phase_rad_detrended, phase_rad
7.131400000000000000e+09,4.318057088488025386e-02,-3.648006097721632202e+00
7.131466666666666985e+09,5.878928196862176492e-02,-3.657232399784597021e+00
7.131533333333333015e+09,4.291218311749434022e-02,-3.697944511781769972e+00
7.131600000000000000e+09,6.375885805962111519e-02,-3.701932849986356633e+00
7.131666666666666985e+09,5.541428585119012595e-02,-3.735112435341493953e+00
7.131733333333333015e+09,5.825277142868534597e-02,-3.757108962910371108e+00
7.131800000000000000e+09,4.609953062890781439e-02,-3.794097216856862076e+00
7.131866666666666985e+09,6.191930584645843894e-02,-3.803112454786017782e+00
7.131933333333333015e+09,5.025381846735443858e-02,-3.839612955311494158e+00
7.132000000000000000e+09,5.181353413971079291e-02,-3.862888252785517285e+00
7.132066666666666985e+09,4.217192214575282705e-02,-3.897364877926181581e+00
7.132133333333333015e+09,6.984919920892496137e-02,-3.894522614009388928e+00
7.132200000000000000e+09,5.873491567793731605e-02,-3.930471910687082904e+00
7.132266666666666985e+09,5.956230310947274731e-02,-3.954479536402253803e+00
7.132333333333333015e+09,4.479506476783212676e-02,-3.994081787890273905e+00
7.132400000000000000e+09,5.729917093662706407e-02,-4.006412694867851343e+00
7.132466666666666985e+09,5.647099744135264388e-02,-4.032075881509832094e+00
7.132533333333333015e+09,8.140506442981632063e-02,-4.031976827667747898e+00
7.132600000000000000e+09,6.349674407599881221e-02,-4.074720161168271737e+00
7.132666666666666985e+09,5.854551597765400572e-02,-4.104506402413322874e+00
7.132733333333333015e+09,6.140095416334112599e-02,-4.126485977374015235e+00
7.132800000000000000e+09,4.842295078180569590e-02,-4.164298993901930146e+00
7.132866666666666985e+09,4.596385189658924730e-02,-4.191593105933852925e+00
7.132933333333333015e+09,5.862888123547627117e-02,-4.203763089741338277e+00
7.133000000000000000e+09,5.903246862666122752e-02,-4.228194515496866757e+00
7.133066666666666985e+09,4.915317379959560640e-02,-4.262908823470638708e+00
7.133133333333333015e+09,4.440542296592919769e-02,-4.292491587450677493e+00
7.133200000000000000e+09,4.096002149183242125e-02,-4.320772002071487705e+00
7.133266666666666985e+09,5.984395031085476546e-02,-4.326723086398837737e+00
7.133333333333333015e+09,3.338010293639470660e-02,-4.378021946919677276e+00
7.133400000000000000e+09,6.079018363678567738e-02,-4.375446879365992636e+00
7.133466666666666985e+09,4.628792940988191162e-02,-4.414784146739602733e+00
7.133533333333333015e+09,2.768025227682180400e-02,-4.458226837019042321e+00
7.133600000000000000e+09,5.650025878069442342e-02,-4.454241843661876032e+00
7.133666666666666985e+09,5.938080343205154321e-02,-4.476196312156898394e+00
7.133733333333333015e+09,3.968657891297411311e-02,-4.520725549822348199e+00
7.133800000000000000e+09,3.800889667719076215e-02,-4.547238245204837881e+00
7.133866666666666985e+09,6.712589005214120164e-02,-4.542956264976600878e+00
7.133933333333333015e+09,4.605913881876144700e-02,-4.588858029356353008e+00
7.134000000000000000e+09,6.631622694517069760e-02,-4.593435954376650088e+00
7.134066666666666985e+09,5.244380214487254221e-02,-4.632143392323327724e+00
7.134133333333333015e+09,7.341416641263176501e-02,-4.636008041201947982e+00
7.134200000000000000e+09,5.009302656630865158e-02,-4.684164194194977426e+00
7.134266666666666985e+09,6.501554597469105801e-02,-4.694076687933301351e+00
7.134333333333333015e+09,5.109808462769116488e-02,-4.732829162426680725e+00
7.134400000000000000e+09,4.661248896200653746e-02,-4.762149771239071683e+00
