PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
2.70865e-06,3.7678477580513827e-06,-95.46783311197282,3.7046361120252418e-06,-95.61478892688152,-1.9835257940806135
2.8086e-06,3.7548795797309547e-06,-95.49777977153354,3.740747862041297e-06,-95.53053131545303,-1.9932101036200103
2.90855e-06,3.7252352327609234e-06,-95.56662600736807,3.7764190473900025e-06,-95.44809645440114,-1.9666957517948358
3.0085e-06,3.6432677990978138e-06,-95.75987813707322,3.8115224482734023e-06,-95.36773040483064,-1.968691578923426
3.10845e-06,3.936378869353418e-06,-95.08776220675685,3.845932926318481e-06,-95.28966592728588,-1.961046655085313
3.2084e-06,3.7873655615454687e-06,-95.42295552689657,3.879527913540906e-06,-95.21412242332154,-1.966417530990602
3.3083500000000003e-06,4.0057809052046376e-06,-94.93595620293463,3.912187891265265e-06,-95.14130595243869,-1.951679597577378
3.4083e-06,3.885343217764622e-06,-95.2011122653193,3.943796857130493e-06,-95.07140931198992,-1.998187124592489
3.5082500000000002e-06,3.949618674701608e-06,-95.05859669015821,3.974242778355694e-06,-95.00461216845969,-1.948166478146577
3.6082e-06,4.048812757669595e-06,-94.84314618836325,4.003418029495296e-06,-94.94108122939548,-1.9386992525257019
3.7081500000000002e-06,3.884671624292774e-06,-95.20261377771308,4.031219812973049e-06,-94.88097044617118,-1.9575311532299813
3.8081e-06,4.034152581736142e-06,-94.87465363755123,4.057550560751678e-06,-94.82442123867565,-1.9582661155554342
3.90805e-06,3.979135813199805e-06,-94.99392479440252,4.0823183155687245e-06,-94.77156273392096,-1.9633096694606438
4.008e-06,4.075031535252518e-06,-94.7870805644996,4.1054370902489245e-06,-94.72251201143578,-1.9430452049426796
4.10795e-06,4.054019407918164e-06,-94.83198357392347,4.126827203689167e-06,-94.677374349143,-1.9584207760012808
4.2079e-06,4.007907801685181e-06,-94.93134559495843,4.146415592203199e-06,-94.63624346420377,-1.9708906438706877
4.30785e-06,4.079648709689918e-06,-94.77724467377578,4.164136095009544e-06,-94.5992017440456,-1.9711079589592744
4.4078e-06,4.029010718802131e-06,-94.88573158757363,4.179929712747113e-06,-94.5663204634706,-1.959088656442447
4.50775e-06,4.100309770813862e-06,-94.73336668129147,4.193744838008391e-06,-94.53765998436967,-1.9620564399015548
4.6077e-06,4.1014748855058895e-06,-94.73089891162357,4.205537456989424e-06,-94.51326993514417,-1.9288666477608276
4.70765e-06,4.093008326159757e-06,-94.74884748125588,4.215271321468676e-06,-94.4931893674696,-1.9337046893780037
4.8076e-06,4.198050894867797e-06,-94.52874605482961,4.222918090442762e-06,-94.47744688852396,-1.936953134629032
4.90755e-06,4.1754670353023535e-06,-94.57559885649735,4.228457440865652e-06,-94.4660607672585,-1.9197807039442958
5.0075e-06,4.027102693617591e-06,-94.88984595281183,4.231877147058622e-06,-94.45903901371065,-1.9515258650437366
5.1074500000000005e-06,4.139087169247767e-06,-94.65160858843193,4.233173128480682e-06,-94.45637943076038,-1.9717716510724945
5.2074e-06,4.197419985764338e-06,-94.5300515222495,4.232349465672823e-06,-94.45806963811405,-1.9418871894249454
5.30735e-06,4.0421741336420816e-06,-94.85739967050725,4.229418384313768e-06,-94.46408706867336,-1.933331263026188
5.4073e-06,4.15222762124238e-06,-94.62407698113829,4.224400207449548e-06,-94.47439893781825,-1.9556300130653907
5.5072500000000005e-06,3.986331054856198e-06,-94.9782327846358,4.217323276083545e-06,-94.48896218650586,-1.9461108168629229
5.6072e-06,4.109880683598143e-06,-94.71311576743057,4.208223838437298e-06,-94.50772339947349,-1.964589970826355
5.70715e-06,4.113728359589258e-06,-94.70498782961516,4.19714590831476e-06,-94.53061870023349,-1.9512408983760352
5.8071e-06,4.0362303558728925e-06,-94.87018115653444,4.184141093123445e-06,-94.55757362497224,-1.9747653920675587
5.9070500000000005e-06,3.992207040166868e-06,-94.96543891975902,4.169268392224443e-06,-94.58850297791639,-1.9382873100571845
6.007e-06,4.0191404056971345e-06,-94.90703647908964,4.152593966399231e-06,-94.62331067121329,-1.9538190421705124
6.10695e-06,3.992503505430401e-06,-94.9647939209085,4.134190879334063e-06,-94.6618895528917,-1.9808648329385512
6.2069e-06,4.17966172507726e-06,-94.56687735942486,4.114138812132047e-06,-94.70412122702741,-1.9799250703936375
6.3068500000000004e-06,4.0315072672582846e-06,-94.88035110331764,4.092523751968449e-06,-94.74987587083689,-1.9604383386112532
6.4068e-06,4.011558708481434e-06,-94.9234369951378,4.069437656105727e-06,-94.79901205405807,-1.9485042316998549
6.50675e-06,3.9748179467046595e-06,-95.00335520264096,4.044978092581155e-06,-94.85137656665336,-1.9696633772316774
6.606700000000001e-06,4.043563216276834e-06,-94.85441529986542,4.0192478589709845e-06,-94.90680426157357,-1.9420751920312487
6.70665e-06,3.850012355954409e-06,-95.28045757727222,3.992354580720787e-06,-94.96511792005248,-1.9389325002829836
6.8066e-06,3.972598732235281e-06,-95.00820604996505,3.964410290611459e-06,-95.02612814764225,-1.992387671304403
6.90655e-06,3.869779658180826e-06,-95.23597529574936,3.935530991004066e-06,-95.08963330993971,-1.9744113690541545
7.006500000000001e-06,3.780813320562585e-06,-95.43799535541152,3.905836200574017e-06,-95.15541951766943,-1.926241767585458
