Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5147930000.0,-116.61007147988279,-117.72104929411452,-123.07451435574528,-2.6465238992945883
5147920000.0,-116.79468035501273,-118.16103357413479,-122.48217354900363,-2.595271260589251
5147910000.0,-116.4868494834907,-117.84896041156503,-122.18583747175052,-2.596075224335623
5147900000.0,-116.97499591182765,-118.43846363739345,-122.41021274841924,-2.57725200917312
5147890000.0,-116.48792902658,-118.02827660197549,-121.73701879960507,-2.5634805446224083
5147880000.0,-116.6781033361872,-118.31214594861036,-121.71474695715384,-2.547238303893868
5147870000.0,-116.79924643450705,-118.63451949831028,-121.42545200434557,-2.514158217626095
5147860000.0,-117.25686098478869,-118.82656534310469,-122.43776371500442,-2.5583295799698615
5147850000.0,-117.13077288053411,-118.86553671096405,-121.95476006421228,-2.5303897787309126
5147840000.0,-117.79067360868218,-119.00711180353898,-123.9116480018773,-2.6246147521172527
5147830000.0,-117.99885683760964,-119.5374122622938,-123.25215919849329,-2.563796879759964
5147820000.0,-117.29048019635555,-118.99158624331491,-122.18383480583591,-2.535952709977566
5147810000.0,-116.73713817161668,-119.2433137064252,-120.31786077430381,-2.417893212640642
5147800000.0,-118.17613326667197,-120.31038470038469,-122.28503246652814,-2.4688976774693985
5147790000.0,-117.85255719378242,-120.01639375030486,-121.91524520617824,-2.464640766497848
5147780000.0,-118.90010121273961,-120.2716821389896,-124.5734866387649,-2.5942825472762596
5147770000.0,-118.67972737953436,-119.92026378550607,-124.72698892058197,-2.6197624547467555
5147760000.0,-118.76031923444708,-121.280378142465,-122.32332567638241,-2.416087628385935
5147750000.0,-119.14619583211655,-120.93357615898286,-123.86495196275915,-2.5218230968800466
5147740000.0,-118.5936134083717,-120.21041757227458,-123.66823379188031,-2.550184034448236
5147730000.0,-119.35951588089145,-121.33332828920106,-123.73389256744366,-2.492655741222114
5147720000.0,-117.78382372540315,-119.50533011428753,-122.63493784476614,-2.53257308937061
5147710000.0,-119.93675182181966,-122.23416698404444,-123.80038645361616,-2.4458686868463317
5147700000.0,-118.95854457739146,-120.679007323532,-123.81180490629058,-2.5327453942910796
5147690000.0,-118.44489839069654,-120.896255993205,-122.09685344488886,-2.4250874067707198
5147680000.0,-119.20311601696532,-121.2599492889912,-123.43687200901938,-2.4802165558479574
5147670000.0,-119.68788601418304,-121.78698582865857,-123.852756389998,-2.4740043567685737
5147660000.0,-119.5067052660217,-122.68246004629978,-122.35762314621749,-2.337499732424075
5147650000.0,-120.01024528775345,-122.36978647029193,-123.78629960341726,-2.437376484397024
5147640000.0,-119.80283147856254,-121.67478755562945,-124.36012813646312,-2.508369888510663
5147630000.0,-119.04475252097774,-120.95015542126838,-123.5406525933527,-2.503152741404917
5147620000.0,-118.41020843965097,-120.85760168141036,-122.06739579502195,-2.425611753573046
5147610000.0,-118.97578172989662,-120.59400158378668,-124.04726505837174,-2.5499414120802677
5147600000.0,-119.33851719192704,-122.51966416342356,-122.18443746503578,-2.336902079066141
5147590000.0,-120.3048703592975,-122.39707933687833,-124.48085163002867,-2.4750117432546324
5147580000.0,-119.28600736233847,-121.8252715817949,-122.82471746672181,-2.4136006825737892
5147570000.0,-119.20607593125452,-121.92085071783362,-122.53348862317705,-2.391431558535838
5147560000.0,-119.77883436317512,-122.7806472498574,-122.79763800785567,-2.3571725562207284
5147550000.0,-119.60200688010823,-122.12475054172248,-123.16160222253134,-2.415739222811391
5147540000.0,-119.91417310504704,-123.24357567426885,-122.62722055633036,-2.320743976270695
5147530000.0,-119.21765486621753,-121.35221918245267,-123.32606111276169,-2.4688524628125257
5147520000.0,-120.4172710937646,-123.74708925343235,-123.12995797368197,-2.320699409200182
5147510000.0,-120.48138938405418,-122.93592267512395,-124.12916103539389,-2.4246677739227382
5147500000.0,-119.61117492295655,-122.50154728865888,-122.74480846982911,-2.3701958991844867
5147490000.0,-120.84084369954999,-124.52795058648755,-123.2657280383205,-2.283789508882226
5147480000.0,-119.4457701511079,-122.21499962135988,-122.71131258101583,-2.384749026569802
5147470000.0,-120.8725077903916,-124.23367642906781,-123.55817917112387,-2.3173488795560315
5147460000.0,-121.16302806048827,-124.1922308899178,-124.15450706355796,-2.354022939013533
5147450000.0,-120.24611795414248,-122.62323489229217,-123.99793551742432,-2.435000303559697
5147440000.0,-120.11668570547727,-123.10056664387898,-123.15356637676005,-2.3592453811321206
5147430000.0,-121.40174794566343,-123.60510743432323,-125.40393931024,-2.4590112184880764
5147420000.0,-121.76778941513459,-124.30448607084627,-125.30973363783046,-2.413932442750752
5147410000.0,-120.16960611594268,-122.56805557788562,-123.89231718000528,-2.432131497503034
5147400000.0,-122.05635379308762,-125.18236363773553,-124.95394690423224,-2.3430472813042145
5147390000.0,-122.42727323333504,-125.4228002343285,-125.452396568857,-2.357898188862892
5147380000.0,-120.79193004127218,-123.79364108150025,-123.81083593404036,-2.357184304824219
5147370000.0,-121.02352205218322,-123.81283135917215,-124.26666348564879,-2.3823072888207046
5147360000.0,-121.53706758530856,-124.98827677089321,-124.14712397341441,-2.3078493492990937
5147350000.0,-122.0831732519043,-125.04362812662254,-125.1438970238412,-2.361966303701259
5147340000.0,-121.4537301955069,-126.17896253709827,-123.23781673973285,-2.1900341504831444
5147330000.0,-120.92644487869617,-124.50484129488953,-123.43443758950824,-2.2947324722091698
5147320000.0,-121.16194081628225,-124.60204280599918,-123.78117003110654,-2.309011438336601
5147310000.0,-121.62429934862851,-126.19875557063678,-123.48703706921836,-2.2025711024122447
5147300000.0,-121.07031031577924,-124.12552354161943,-124.03615673079459,-2.351050213791717
5147290000.0,-121.18501474530534,-124.75511503343908,-123.69950238881725,-2.2955775772493374
5147280000.0,-120.33069776369466,-123.36585737367037,-123.31627955777185,-2.353340577193096
5147270000.0,-121.95816174073188,-125.61327972168436,-124.40712188321157,-2.2869845395403576
5147260000.0,-122.25597975295278,-125.54731910895296,-125.00232675698234,-2.3248427731385832
5147250000.0,-121.05353330141338,-125.1893258081856,-123.1708028425679,-2.2410309331592773
5147240000.0,-122.46164885998907,-125.01342962430815,-125.98465468829448,-2.4119865593247907
5147230000.0,-122.86655261166798,-126.33728159893536,-125.46059191786475,-2.3058136445542945
5147220000.0,-121.62109632928366,-125.26947966084327,-124.07516494805432,-2.287659827250765
5147210000.0,-121.72782949052761,-126.11584079277651,-123.69381637198254,-2.2185440147212416
5147200000.0,-121.28295913733275,-125.97237027678459,-123.08535757028316,-2.1929827897091476
5147190000.0,-121.29743421489141,-125.62287424297426,-123.29965501567074,-2.2240258818833634
5147180000.0,-122.22624678008691,-126.45935429437398,-124.28347292755859,-2.2322305358488506
5147170000.0,-121.98891968673536,-125.04702707525294,-124.95193275399039,-2.3507205303801157
5147160000.0,-121.28922388156255,-124.85114277800334,-123.81013834832757,-2.2964124060296967
5147150000.0,-121.94116669473914,-125.21510554656531,-124.70292016399523,-2.3267278013528085
5147140000.0,-122.07356827015542,-125.62462598453695,-124.60304814429158,-2.297522853862184
5147130000.0,-122.21528080013451,-126.4166015289517,-124.29188085046601,-2.235087579854134
5147120000.0,-122.90941496062244,-126.05796071821274,-125.78573437055681,-2.34052644677794
5147110000.0,-121.3841206671535,-124.72627967008891,-124.08612977086096,-2.319377814186159
5147100000.0,-120.62076479080203,-125.92953349249021,-122.13595253805374,-2.1444472705091235
5147090000.0,-121.23844216495382,-125.06793205386876,-123.5598240160929,-2.269813741652447
5147080000.0,-122.60781551156998,-127.65944655494127,-124.23502882414377,-2.163985914625176
5147070000.0,-121.52921268078427,-125.10723276096618,-124.03749954164977,-2.294770777436811
5147060000.0,-122.47978637855864,-128.12179787433718,-123.8630769427739,-2.120313123708857
5147050000.0,-122.70217183658553,-125.79902986099665,-125.62760523299079,-2.3463271359171176
5147040000.0,-121.04883359327802,-124.22926171910461,-123.89541941872137,-2.336981712350637
5147030000.0,-121.03512033098963,-125.304048273563,-123.07078520848398,-2.2290309964738424
5147020000.0,-122.34412381025948,-125.56937038262761,-125.14961574519681,-2.3320408705100193
5147010000.0,-121.26858167585152,-125.44986358265265,-123.3575133105848,-2.2368973814862354
5147000000.0,-121.86734819307297,-126.17784975514324,-123.87834243194723,-2.2253439063369145
