# freq_Hz, amplitude_linear, amplitude_dBm, phase_rad
1.200000000000000000e+07,1.151392372492526838e-04,-6.576523308128322753e+01,-1.443759939917877710e-01
1.600000000000000000e+07,1.152803681230916689e-04,-6.575459295067454946e+01,7.841538013128570572e-01
2.000000000000000000e+07,1.252340716825554271e-04,-6.503525002647015185e+01,5.543249599010915407e-01
2.400000000000000000e+07,1.475623219697905041e-05,-8.361019043420400010e+01,1.392582339720913165e+00
2.800000000000000000e+07,6.297190248936998329e-05,-7.100676375770513005e+01,1.171050518091595993e+00
3.200000000000000000e+07,1.338569233384984743e-04,-6.445688327030168807e+01,6.305809179448809143e-01
3.600000000000000000e+07,1.059112767744074932e-04,-6.649085597243521306e+01,1.014519819860715710e+00
4.000000000000000000e+07,2.034146613452220901e-04,-6.082205500359666672e+01,1.635174977032298749e-01
4.400000000000000000e+07,2.110584685504944893e-04,-6.050164439225686408e+01,2.039539928750322972e-01
4.800000000000000000e+07,1.144846714406020353e-04,-6.581475320144176067e+01,3.152961182683329255e-01
5.200000000000000000e+07,2.211554444204667693e-04,-6.009574733676650737e+01,4.809421952494130625e-01
5.600000000000000000e+07,9.435027203470516279e-05,-6.749483690977976380e+01,-2.581980631821144123e-01
6.000000000000000000e+07,8.874184939722631112e-05,-6.802713053825094391e+01,1.301853716499810742e+00
6.400000000000000000e+07,2.183742280526310261e-04,-6.020567238788619591e+01,3.455223767071231578e-01
6.800000000000000000e+07,1.272251998925121995e-04,-6.489823720542712238e+01,1.046243680183778224e+00
7.200000000000000000e+07,1.196453298678012435e-04,-6.543178501524894841e+01,4.361084716362956804e-01
7.600000000000000000e+07,1.579554279392052999e-04,-6.301900895375794676e+01,7.096608062802101102e-01
8.000000000000000000e+07,1.505084289611794736e-04,-6.343848359309220086e+01,2.593801725569088168e-01
8.400000000000000000e+07,1.425673699515424286e-04,-6.390929728501552631e+01,5.325302733099015473e-01
8.800000000000000000e+07,1.319950971141109551e-04,-6.457854404588444197e+01,7.260768517208948669e-01
9.200000000000000000e+07,1.529244793902743049e-04,-6.330015982979382017e+01,7.747438077038127924e-01
9.600000000000000000e+07,1.781635539504385882e-04,-6.197332269772267210e+01,5.872711710651490336e-01
1.000000000000000000e+08,1.484219558328415945e-04,-6.355973703908992434e+01,6.570377692968577543e-01
1.040000000000000000e+08,2.078885304405530935e-04,-6.063308945863410315e+01,7.682422325366534688e-01
1.080000000000000000e+08,9.301992999705812818e-06,-8.761817987648811368e+01,1.480073406425570282e+00
1.120000000000000000e+08,1.430306340843824102e-05,-8.388111876413370283e+01,1.501529538107115869e+00
1.160000000000000000e+08,1.606465000205716258e-04,-6.287227468162696198e+01,6.773253559466476670e-01
1.200000000000000000e+08,1.157326191530598319e-04,-6.572058440769468746e+01,6.651410114026993226e-01
1.240000000000000000e+08,1.057563795219787126e-04,-6.650356854934513251e+01,6.001718778257842946e-01
1.280000000000000000e+08,8.365644717298460851e-05,-6.853971171389993344e+01,9.171862325284901862e-01
1.320000000000000000e+08,1.058818065269078796e-04,-6.649327319319664298e+01,7.285597219538032521e-01
1.360000000000000000e+08,3.620863488637952220e-05,-7.581345701042135943e+01,1.300619388916150587e+00
1.400000000000000000e+08,1.481626380494799181e-04,-6.357492600215746847e+01,6.865164385581862261e-01
1.440000000000000000e+08,1.459897936421379985e-04,-6.370325014956729603e+01,6.324603721844830329e-01
1.480000000000000000e+08,7.550389579893855227e-05,-6.943031283055616143e+01,7.709773739141706494e-01
1.520000000000000000e+08,8.388384735265292476e-05,-6.851613321795930744e+01,9.218817588787857620e-01
1.560000000000000000e+08,2.710578529962180965e-04,-5.832846016273282430e+01,4.021711504112868152e-01
1.600000000000000000e+08,1.416927460318047035e-04,-6.396274770164303902e+01,8.795962127836979283e-01
1.640000000000000000e+08,1.044816128645645223e-04,-6.660890268113109869e+01,8.044142564424353603e-01
1.680000000000000000e+08,1.524638665599775363e-04,-6.332636145337741596e+01,4.970276415985541707e-01
1.720000000000000000e+08,2.260854395264059948e-04,-5.990424817168140237e+01,7.215210894781599604e-01
1.760000000000000000e+08,1.592079644445263526e-04,-6.295040424922278532e+01,7.764803091832789272e-01
1.800000000000000000e+08,1.302492143894018537e-04,-6.469419779354532807e+01,-5.574891035157035768e-01
1.840000000000000000e+08,1.993410369607422886e-04,-6.099776578124008353e+01,-8.871557966724603894e-02
1.880000000000000000e+08,1.669742414326604756e-04,-6.253671046070656558e+01,6.336798081119653370e-01
1.920000000000000000e+08,1.756364547340528320e-04,-6.209740679980736644e+01,3.618800867427353074e-01
1.960000000000000000e+08,1.283336483019268239e-04,-6.482288922982431245e+01,5.478822071640125912e-01
2.000000000000000000e+08,1.195306100462196922e-04,-6.544011732314186247e+01,1.082221383089465139e+00
2.040000000000000000e+08,1.328255666491866282e-04,-6.452406649663868166e+01,7.919177773464015635e-01
2.080000000000000000e+08,1.865650218440229014e-04,-6.157309557712966352e+01,7.759358547715554666e-01
2.120000000000000000e+08,2.527808949681949061e-04,-5.893481510079175223e+01,2.658226235060781595e-01
2.160000000000000000e+08,8.565461153199837002e-05,-6.833468504782908326e+01,9.985890509103290125e-01
2.200000000000000000e+08,1.749584350952121793e-04,-6.213100233281812734e+01,6.815765232200451385e-01
2.240000000000000000e+08,1.383302825679557540e-04,-6.417135476185072207e+01,1.088427177376224630e+00
2.280000000000000000e+08,1.861457081494955054e-04,-6.159263949533711013e+01,4.428187966514683382e-01
2.320000000000000000e+08,9.946381885517487586e-05,-6.703639744937925116e+01,1.236625640693738593e+00
2.360000000000000000e+08,9.227929882892764218e-05,-6.768761432462018490e+01,1.083491467306895606e+00
2.400000000000000000e+08,1.670320602227375593e-04,-6.253370328609851470e+01,4.869805453418437069e-01
2.440000000000000000e+08,4.666883920477267087e-05,-7.360916006732468020e+01,1.299705590168354075e+00
