PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
5.5072500000000005e-06,2.1226740394189298e-06,-100.45203387412792,2.109307513289048e-06,-100.50690205133071,0.7713500085478368
5.6072e-06,2.136617766657037e-06,-100.39516333596399,2.096870379725322e-06,-100.55826834497289,0.7497648090410104
5.70715e-06,2.109124242798534e-06,-100.50765677125867,2.0829223727457975e-06,-100.61623834787483,0.7800442215846525
5.8071e-06,2.0300755528049855e-06,-100.83945601853722,2.0675321822225915e-06,-100.68065447738933,0.7579230286351643
5.9070500000000005e-06,2.0028878707735496e-06,-100.95656731277978,2.0507739949035235e-06,-100.75134400980599,0.7508818337767768
6.007e-06,2.055667862149283e-06,-100.73064111790885,2.0327271544361356e-06,-100.8281182676977,0.6712488679422688
6.10695e-06,1.9207160305260655e-06,-101.32043682204242,2.013475802147786e-06,-100.9107717504543,0.7424336415619411
6.2069e-06,2.0148947566808375e-06,-100.90465270911724,1.993108500158778e-06,-100.99908121699076,0.7548831835099779
6.3068500000000004e-06,1.952528281966107e-06,-101.17775337815718,1.9717178384702975e-06,-101.0928047314899,0.7046228024294623
6.4068e-06,1.954386244882314e-06,-101.16949209578335,1.949400027726773e-06,-101.19168068524621,0.7313004868611553
6.50675e-06,1.877978983290527e-06,-101.51588548914626,1.926254479403001e-06,-101.29542681022983,0.69384709523181
6.606700000000001e-06,1.8776683718751519e-06,-101.51732222493388,1.9023833752097191e-06,-101.4037392028955,0.7327823348387128
6.70665e-06,1.7782128632438828e-06,-101.9900250929164,1.8778912275471345e-06,-101.51629138001019,0.6676558083256365
6.8066e-06,1.7864488218617717e-06,-101.94988846216162,1.852884432864123e-06,-101.63273339184015,0.6809940131195872
6.90655e-06,1.7271934472142305e-06,-102.24288041010325,1.8274708198012455e-06,-101.7526910218755,0.6303805886327825
7.006500000000001e-06,1.7108209514036956e-06,-102.32560884010408,1.8017591940083778e-06,-101.87576510630053,0.6907599720392585
7.10645e-06,1.7700301188016879e-06,-102.0300869159197,1.7758588815325707e-06,-102.00153101053013,0.6613846537685222
7.2064e-06,1.7587413315645982e-06,-102.08566064517012,1.7498792726687295e-06,-102.1295383041761,0.6455201214593719
7.30635e-06,1.7107106699394837e-06,-102.32616876047518,1.7239293681549212e-06,-102.25931067958348,0.6614797141706612
7.4063000000000006e-06,1.6797684055945388e-06,-102.48471187438638,1.6981173295755887e-06,-102.3903461623412,0.6389032092985913
7.50625e-06,1.7035532927441782e-06,-102.3625855578658,1.6725500358098285e-06,-102.522117664625,0.6223795548871824
7.6062e-06,1.6285520718287678e-06,-102.75366705557445,1.6473326473282721e-06,-102.65407393352986,0.534129925311437
7.70615e-06,1.6047392660058121e-06,-102.88161045537748,1.622568180101208e-06,-102.78564094630512,0.5687115811880804
7.8061e-06,1.6152635179615543e-06,-102.82483235756314,1.5983570908325275e-06,-102.91622380220844,0.553217285589377
7.90605e-06,1.5402622389696114e-06,-103.23780667543934,1.574796875179153e-06,-103.04520915612204,0.6265253890494539
8.006000000000001e-06,1.5008056598432458e-06,-103.46321086634303,1.5519816805540626e-06,-103.17196823173687,0.5568007691751661
8.10595e-06,1.4614115521568422e-06,-103.69424932273908,1.5300019350430647e-06,-103.29586044167496,0.5214485081326999
8.2059e-06,1.4965387443302553e-06,-103.48794074538198,1.508943993891528e-06,-103.41623762816977,0.4807277962456143
8.305850000000001e-06,1.4932356616393826e-06,-103.50713297830353,1.4888898049375769e-06,-103.53244892080141,0.5262417006763083
8.4058e-06,1.5140728214893163e-06,-103.38676476979623,1.4699165942831692e-06,-103.6438461874474,0.476044618895914
8.50575e-06,1.48792907550952e-06,-103.53805543594999,1.4520965734044335e-06,-103.74979003147902,0.49230959232936355
8.6057e-06,1.5273064353835498e-06,-103.31117640970416,1.435496668807977e-06,-103.84965626303142,0.5211428657512597
8.70565e-06,1.3720122982401765e-06,-104.24253995830838,1.4201782752410002e-06,-103.94284274592862,0.4442548851646221
8.805600000000001e-06,1.3868322093097174e-06,-104.14922165071894,1.4061970333604605e-06,-104.02877649588694,0.4820363895337324
8.90555e-06,1.4627514852799396e-06,-103.68628908803589,1.3936026326605683e-06,-104.10692088152246,0.3945671764826541
9.0055e-06,1.4141786758493007e-06,-103.9796143572105,1.3824386403490912e-06,-104.17678275918435,0.4705284173408148
9.105450000000001e-06,1.381573540700993e-06,-104.18221989898149,1.3727423567517427e-06,-104.23791935748433,0.36654271103366315
9.2054e-06,1.4169473955783916e-06,-103.96262549760789,1.364544697710765e-06,-104.2899447192228,0.4367501068809445
9.30535e-06,1.4020814887766094e-06,-104.05423493340697,1.3578701043292338e-06,-104.33253550855332,0.4311656066348634
9.4053e-06,1.416181672125426e-06,-103.96732065226462,1.3527364802970413e-06,-104.36543600053385,0.3938349807715697
9.50525e-06,1.3628057970074252e-06,-104.30102059793853,1.3491551569184574e-06,-104.38846208893327,0.4235870896730078
9.6052e-06,1.4135423454473726e-06,-103.98352358000592,1.3471308858451266e-06,-104.4015041758373,0.483915984608406
9.70515e-06,1.3003070603005811e-06,-104.70878163033974,1.346661859402787e-06,-104.40452884205473,0.3485395342143632
9.8051e-06,1.3392045484584227e-06,-104.45276172967398,1.3477397582854057e-06,-104.39757923871912,0.4182874227974346
9.905050000000001e-06,1.4997731628451429e-06,-103.46918848323702,1.350349826277259e-06,-104.38077418544981,0.4488428219668028
1.0005e-05,1.4396320455517198e-06,-103.82466993765512,1.3544709715522436e-06,-104.35430600628683,0.4922502428278409
1.010495e-05,1.366618070375228e-06,-104.27675686398973,1.3600758939908096e-06,-104.31843717857662,0.4115557486223422
1.0204900000000001e-05,1.4343916576946167e-06,-103.85634502855945,1.3671312378488243e-06,-104.27349590946078,0.4381394711513354
1.030485e-05,1.4335695367569014e-06,-103.86132476952912,1.375597769009853e-06,-104.21987078741353,0.43520461563573587
1.04048e-05,1.3584531637084042e-06,-104.3288066523032,1.3854305759531411e-06,-104.15800468077678,0.43928232483241675
