PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm_display,Phase_rad
1.0579e-06,4.260046557163796e-06,-94.40141313450374,4.263224814517027e-06,-94.39493534148573,1.1696691073104595
1.08285e-06,4.324511942234853e-06,-94.270958028174,4.256870426153149e-06,-94.40789142348258,1.1483396907888617
1.1078e-06,4.249937948176119e-06,-94.42204826099601,4.247961291571624e-06,-94.42608902941285,1.1639011326145534
1.13275e-06,4.2738204047030225e-06,-94.37337467924296,4.23655505175474e-06,-94.4494429593037,1.1628658509102001
1.1577e-06,4.215228202230426e-06,-94.49327821841933,4.222724306963197e-06,-94.47784548032746,1.164717573883645
1.18265e-06,4.274740288595854e-06,-94.37150535637318,4.2065561548317504e-06,-94.51116622648743,1.174464238203439
1.2076e-06,4.183214819950955e-06,-94.55949669521505,4.188151642126421e-06,-94.54925208395737,1.1356701822063748
1.23255e-06,4.285668643957383e-06,-94.34932825223942,4.167625133687768e-06,-94.59192707405887,1.1684191209447703
1.2575e-06,4.105628776054205e-06,-94.72210647047989,4.1451036025725465e-06,-94.63899224810346,1.1458845791768755
1.2824499999999999e-06,4.14178195754061e-06,-94.64595540537168,4.120725845868039e-06,-94.69022561060828,1.1651878775457878
1.3074e-06,4.117934313616116e-06,-94.69611174780044,4.0946416310866715e-06,-94.74538208969597,1.1523296828297638
1.33235e-06,4.103102099774186e-06,-94.72745356550455,4.067010778450915e-06,-94.80419357576733,1.13480898865091
1.3573e-06,3.996480971789979e-06,-94.95614505275978,4.03800218474742e-06,-94.86636905173532,1.1206279296477444
1.38225e-06,4.049032190900475e-06,-94.84267545254679,4.007792794762907e-06,-94.93159484015479,1.140039315298959
1.4072e-06,3.830599037066415e-06,-95.32436614023172,3.976566526610623e-06,-94.99953499437854,1.1212919173783589
1.43215e-06,3.8691043375794035e-06,-95.23749121464215,3.944513157513477e-06,-95.0698318623005,1.1164623773018265
1.4571e-06,3.9025402857049125e-06,-95.16275214425576,3.911827176827086e-06,-95.14210685217517,1.1201963070895034
1.48205e-06,3.996019982796023e-06,-94.95714701686413,3.878706613261486e-06,-95.21596143027313,1.1072778190150132
1.507e-06,3.874045607718707e-06,-95.226405459302,3.8453518433935675e-06,-95.29097837957886,1.103732554402966
1.53195e-06,3.836796773098469e-06,-95.31032412016711,3.8119643886525835e-06,-95.36672334718192,1.087583771936946
1.5569e-06,3.870911241940532e-06,-95.23343577780454,3.778745708008043e-06,-95.44274670528338,1.0601560798808356
1.58185e-06,3.6887405283546603e-06,-95.65213789608615,3.745895993592829e-06,-95.51858574667504,1.0776605770503043
1.6068e-06,3.6540214489907316e-06,-95.73427819698176,3.7136129764546216e-06,-95.5937672300204,1.0669106289349517
1.63175e-06,3.715900957548956e-06,-95.5884174448032,3.682090749546089e-06,-95.66781028318647,1.0527310416450146
1.6567e-06,3.5727800365833494e-06,-95.92957446232118,3.6515186149394625e-06,-95.74022966422773,1.0467056701538964
1.68165e-06,3.5666485742819697e-06,-95.94449364447598,3.6220799620849616e-06,-95.81053936947066,1.0181697434062567
1.7066e-06,3.6161758017326128e-06,-95.82470932927117,3.5939511837263234e-06,-95.87825656665606,1.0246835596121617
1.73155e-06,3.573162491463758e-06,-95.92864471488119,3.56730063584165e-06,-95.94290581854855,1.0399895341555399
1.7565e-06,3.581755011061894e-06,-95.907782500105,3.542287647695661e-06,-96.0040235492228,1.0270065479672306
1.7814500000000001e-06,3.5129201021292527e-06,-96.0763345971865,3.519061587772073e-06,-96.06116269190495,1.0356992257063857
1.8064e-06,3.6224031102530976e-06,-95.8097644820704,3.497760991004097e-06,-96.11389744442016,1.0054074078864312
1.83135e-06,3.3877123995745483e-06,-96.39156936897935,3.4785127523394136e-06,-96.16182804667821,1.0044079320007266
1.8563000000000001e-06,3.441553614487438e-06,-96.25460925076246,3.4614313912655995e-06,-96.20458548497764,1.002570817860038
1.88125e-06,3.427598054434161e-06,-96.28990229044975,3.446618391485614e-06,-96.24183602095998,0.9935213396058926
1.9062e-06,3.493569488640891e-06,-96.12431232365165,3.434161619473175e-06,-96.27328543947912,1.0306861364929305
1.93115e-06,3.4254932926303927e-06,-96.2952376138508,3.424134825157504e-06,-96.2986829100036,1.0058374726695636
1.9561e-06,3.3668414749855635e-06,-96.44524667407646,3.416597227489047e-06,-96.31782436079479,0.9968751534073482
1.98105e-06,3.531690268607415e-06,-96.03004786967203,3.4115931871252483e-06,-96.3305552741075,1.018280267891203
2.006e-06,3.4927250370978693e-06,-96.12641209568848,3.4091519679514927e-06,-96.33677282387629,0.9693535308727661
2.03095e-06,3.353889937071916e-06,-96.47872391377658,3.4092875886200506e-06,-96.33642729433097,1.016720150968894
2.0559e-06,3.294964504540685e-06,-96.63268523419903,3.4119987647524637e-06,-96.32952273800667,0.9839443420848273
2.08085e-06,3.368855672397912e-06,-96.44005193429777,3.4172689419114695e-06,-96.31611685373639,0.9999028328048638
2.1058000000000002e-06,3.4046066735198092e-06,-96.34836112153681,3.4250664189105464e-06,-96.29632008832907,1.0177462497321264
2.13075e-06,3.4477064637051514e-06,-96.23909438185996,3.4353445604956043e-06,-96.27029398856502,0.9807255617089344
2.1557e-06,3.4523554866880384e-06,-96.22738987631931,3.448042097907391e-06,-96.23824885171464,0.9643388524865889
2.18065e-06,3.415027579543054e-06,-96.32181573603994,3.4630835153179456e-06,-96.20044074194423,1.004612355401348
2.2056e-06,3.590269676920005e-06,-95.88715862165708,3.4803795196328997e-06,-96.15716795583432,1.0364692611060837
2.23055e-06,3.4161110951706046e-06,-96.31906032506407,3.4998275906664716e-06,-96.1087670321629,1.027088456057746
2.2555000000000003e-06,3.5143443216559488e-06,-96.07281384912505,3.5213126082305082e-06,-96.0556084087385,0.972464497516796
2.28045e-06,3.5299421143647984e-06,-96.03434836970047,3.544707552235476e-06,-95.99809183232686,1.0342796927499394
2.3054e-06,3.5971315988329768e-06,-95.87057351328116,3.569874271482506e-06,-95.93664162679083,0.9736059184627741
2.33035e-06,3.4755069533734447e-06,-96.1693368087535,3.5966643164337295e-06,-95.87170191987016,1.0414171197434317
2.3553e-06,3.6678764823185446e-06,-95.70140600040538,3.6249198308855403e-06,-95.80373192115944,1.0631347029500768
2.38025e-06,3.5495753972244924e-06,-95.98617193251832,3.654474497137919e-06,-95.73320133349542,1.03703823070377
2.4052000000000003e-06,3.7038973791953924e-06,-95.61652113254974,3.685154528954603e-06,-95.66058596789743,1.0632747039216417
2.43015e-06,3.721441900465779e-06,-95.57547518074743,3.716779706345037e-06,-95.58636361915319,1.0531419484049136
2.4551e-06,3.797565524184595e-06,-95.39959452276878,3.7491644459713703e-06,-95.5110102458033,1.046042010529764
2.48005e-06,3.6543836130980134e-06,-95.7334173477424,3.7821189007931334e-06,-95.434996485244,1.073291903061254
2.505e-06,3.7121745109055187e-06,-95.59713235545262,3.815450082409641e-06,-95.35878452243116,1.107658162140421
2.5299500000000002e-06,3.861663005698526e-06,-95.25421260970406,3.848962999444877e-06,-95.28282531959336,1.1216194528502388
2.5549e-06,3.8077567911102996e-06,-95.3763160161907,3.882461805229582e-06,-95.20755620472173,1.1179516061249999
2.57985e-06,3.8611669230357295e-06,-95.25532850097866,3.915750948035068e-06,-95.13339880838728,1.0847613710839608
2.6048e-06,3.932757569987802e-06,-95.0957565296661,3.948636317150115e-06,-95.06075733180126,1.1129682893477524
2.62975e-06,3.905401795628765e-06,-95.15638561124345,3.98092637807419e-06,-94.99001712414133,1.1049744895825597
2.6547e-06,4.07189177772991e-06,-94.79377550629154,4.012433290195196e-06,-94.92154354353005,1.0844379064701937
2.6796500000000003e-06,4.136751298884219e-06,-94.65651180465672,4.042974000449338e-06,-94.85568107371213,1.1027811270844192
2.7046e-06,4.113004395475851e-06,-94.70651657075564,4.072371306622126e-06,-94.7927526672703,1.1303608407956172
2.72955e-06,4.141057583378068e-06,-94.64747465104038,4.1004548841471154e-06,-94.7330592859568,1.1427739948829694
2.7545e-06,4.1419479665841595e-06,-94.6456072684226,4.127062270491527e-06,-94.67687960922436,1.1394066802106655
2.77945e-06,4.089113448300758e-06,-94.75711684774168,4.152039801484275e-06,-94.62446988315071,1.1651492961227652
2.8044e-06,4.1423617812631084e-06,-94.64473951993314,4.175243494240202e-06,-94.57606388351249,1.1586471855420952
2.8293500000000003e-06,4.18543411794498e-06,-94.55488983978475,4.1965398716628735e-06,-94.53187296864955,1.130890197819133
2.8543e-06,4.059742745401108e-06,-94.81972975503056,4.215806723864919e-06,-94.49208619985401,1.1682687293591119
2.87925e-06,4.177558577734476e-06,-94.57124907763637,4.232933802227505e-06,-94.45687050923132,1.178954906773248
2.9042e-06,4.213979754934911e-06,-94.49585114711255,4.247823442226706e-06,-94.42637089724123,1.160598647729823
2.92915e-06,4.270496450283352e-06,-94.38013273917863,4.260391111581913e-06,-94.40071064438102,1.1767018577015438
2.9541000000000002e-06,4.239238173461625e-06,-94.44394369824559,4.270565880727292e-06,-94.37999152368336,1.1550640560855756
2.9790500000000003e-06,4.310717901589048e-06,-94.29870798244046,4.278290813069138e-06,-94.36429400284553,1.1561878819812232
3.004e-06,4.211009636521985e-06,-94.50197533804426,4.2835232729668876e-06,-94.35367742687015,1.1590359448784615
3.02895e-06,4.255109405080456e-06,-94.41148542516238,4.286235149860813e-06,-94.34818017408035,1.1611588098294403
3.0539e-06,4.319497798857669e-06,-94.2810349027248,4.286412997462143e-06,-94.34781978027642,1.1393942943871822
3.07885e-06,4.243384531446405e-06,-94.43545226535346,4.284058087418572e-06,-94.35259302764129,1.1855060712187577
3.1038000000000003e-06,4.281381903584256e-06,-94.3580206619991,4.279186377367112e-06,-94.36247599678806,1.1920171742948826
3.1287500000000003e-06,4.213317242165143e-06,-94.49721683122593,4.271828393783771e-06,-94.37742408209671,1.1781854904979476
3.1537e-06,4.182394684662273e-06,-94.56119976410076,4.262029030533136e-06,-94.39737197222351,1.1554573995605615
3.17865e-06,4.097413055823353e-06,-94.7395051049244,4.2498472645073624e-06,-94.42223359940613,1.1752134478629626
3.2036e-06,4.223312643370187e-06,-94.47663539206016,4.2353557902208165e-06,-94.45190206294507,1.1543873856067395
