PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,phi_fit_rad,C_fit,t_pi_s
2.006e-06,3.404245596443599e-06,3.485095094612045e-06,0.7803978836932899,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.03095e-06,3.426842245611863e-06,3.5217091959143756e-06,0.8262294931475748,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.0559e-06,3.4072135546031103e-06,3.5625268442377305e-06,0.805263637905048,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.08085e-06,3.484156423080829e-06,3.6072495559712696e-06,0.8272398259709516,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.1058000000000002e-06,3.7893159276747983e-06,3.6555502912919473e-06,0.8678901239984894,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.13075e-06,3.6295048850822397e-06,3.7070758456797346e-06,0.8255112525482655,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.1557e-06,3.902061243096704e-06,3.761449432765111e-06,0.8256414084548988,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.18065e-06,3.844996172521042e-06,3.818273439621456e-06,0.8064575760624141,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.2056e-06,3.88907160673763e-06,3.8771323343539745e-06,0.8105872080502056,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.23055e-06,3.977426385280994e-06,3.937595704723073e-06,0.8147449635399886,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.2555000000000003e-06,4.097291762365017e-06,3.999221405581916e-06,0.8159931417588473,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.28045e-06,3.939735148396233e-06,4.061558792112187e-06,0.8446869345561875,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.3054e-06,4.1199971523946345e-06,4.124152015214631e-06,0.8298629749046499,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.33035e-06,4.302198068274014e-06,4.1865433549564925e-06,0.8404247234447395,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.3553e-06,4.3317935106946e-06,4.2482765676996355e-06,0.8460647578111952,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.38025e-06,4.272017565458423e-06,4.308900222433082e-06,0.8382285799202813,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.4052000000000003e-06,4.34626029370175e-06,4.367971001912686e-06,0.8559305747567238,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.43015e-06,4.483850812890697e-06,4.425056944467984e-06,0.8186290980341494,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.4551e-06,4.425139197798709e-06,4.479740602770137e-06,0.8558369776313534,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
