PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
3.8425e-07,3.3902293990613995e-06,3.3657851586590096e-06,2.2404092775777644,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
4.0920000000000004e-07,3.398966789109005e-06,3.4074303243060233e-06,2.2242143175439266,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
4.3415000000000006e-07,3.3521830031691975e-06,3.449970689647729e-06,2.2050725155127724,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
4.5910000000000003e-07,3.515889873126573e-06,3.493134635936677e-06,2.252134629743826,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
4.8405e-07,3.490890064787777e-06,3.536646562882842e-06,2.234385443315484,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
5.09e-07,3.815402787159318e-06,3.5802286483518518e-06,2.245975108171853,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
5.339500000000001e-07,3.711135042201798e-06,3.6236026222496154e-06,2.232062085815625,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
5.589000000000001e-07,3.828183625487767e-06,3.6664915432671575e-06,2.2292362343276713,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
5.8385e-07,3.741734429596477e-06,3.7086215671412084e-06,2.246681447451648,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
6.088000000000001e-07,3.7824321639342264e-06,3.7497236951402635e-06,2.257252848054142,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
6.337500000000001e-07,3.683254350343654e-06,3.789535491612092e-06,2.2312848849733364,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
6.587e-07,3.764571701574917e-06,3.827802759626213e-06,2.265398081972327,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
6.8365e-07,4.01632828536269e-06,3.864281164012423e-06,2.256934679791964,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
7.086000000000001e-07,3.974693188895322e-06,3.898737791432326e-06,2.254558190741006,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
7.335500000000001e-07,3.817940428795726e-06,3.930952637522867e-06,2.284836477448389,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
7.585e-07,4.100331297633517e-06,3.96072001161651e-06,2.2631822722897335,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
7.834500000000001e-07,4.184351588059192e-06,3.987849850068969e-06,2.2462658337658383,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
8.084000000000001e-07,3.881483424494914e-06,4.012168929808936e-06,2.2697333944285756,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
8.3335e-07,4.0994180909326284e-06,4.03352197436135e-06,2.287007726752058,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
8.583000000000001e-07,4.134936892315419e-06,4.0517726452822675e-06,2.2403351555955444,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
8.832500000000001e-07,4.091640945223489e-06,4.066804412675062e-06,2.277258507056434,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
9.082e-07,4.131038724770895e-06,4.078521299229751e-06,2.277358165718872,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
9.331500000000001e-07,4.172804684602436e-06,4.086848493034768e-06,2.2756139448567287,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
9.581e-07,4.214887088741952e-06,4.091732825248404e-06,2.2793700156803363,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
9.8305e-07,4.0745880679129e-06,4.093143109580007e-06,2.2913165768481423,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.008e-06,4.114005945038495e-06,4.0910703414133576e-06,2.278445764583311,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.03295e-06,4.084821421091818e-06,4.085527755300832e-06,2.275849270531357,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.0579e-06,4.047840418428732e-06,4.076550740461245e-06,2.279593520354779,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.08285e-06,4.245220476410204e-06,4.064196614820921e-06,2.2794612286232967,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.1078e-06,4.001461449437842e-06,4.048544259040742e-06,2.287617466832754,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.13275e-06,4.0397804424007176e-06,4.029693612865878e-06,2.2330739717684187,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.1577e-06,4.081976909224452e-06,4.007765037014e-06,2.246459494290685,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.18265e-06,4.019171663020861e-06,3.982898544676307e-06,2.2043942900892897,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.2076e-06,3.961862373125263e-06,3.955252907538186e-06,2.273417869877347,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.23255e-06,3.876363794278169e-06,3.92500464202754e-06,2.2724256491982677,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.2575e-06,3.875942485974952e-06,3.892346882263565e-06,2.2353917820987363,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
