PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
2.6330000000000003e-07,7.955743536829025e-07,-108.97608455012718,7.218937115749608e-07,-109.82023486965576,-2.2242373247834815
2.7075e-07,7.61069468984922e-07,-109.36121404014735,7.441075965791676e-07,-109.55698527808761,-2.148758026327698
2.7820000000000004e-07,7.875520528057957e-07,-109.06411468621036,8.672173591174576e-07,-108.22714079200466,-2.1784752084517827
2.8565e-07,7.922944140379603e-07,-109.01196816327455,8.934918738950459e-07,-107.96788790235433,-2.146214483416282
2.9310000000000005e-07,8.802904806540714e-07,-108.09717993379935,7.8301358361093e-07,-109.11431411928687,-2.3225593648135057
3.0055000000000003e-07,8.600653521352397e-07,-108.29907099538696,7.149380491313507e-07,-109.90433182513028,-2.2865618568580874
3.0800000000000006e-07,9.325917129044843e-07,-107.59586900425995,7.97804533967721e-07,-108.95177004134763,-2.220004589062659
3.1545000000000004e-07,8.47165111611346e-07,-108.43033880077355,8.973505661506883e-07,-107.93045722034864,-2.285026662299897
3.229e-07,8.474440389035922e-07,-108.4274794609681,8.549429199145976e-07,-108.35095764104548,-2.1183394763841985
3.3035000000000004e-07,7.601075820898852e-07,-109.37219875033901,7.41269602115014e-07,-109.59017622342616,-2.2247632151748173
3.378e-07,7.907661703169222e-07,-109.02873841269619,7.395702644735043e-07,-109.610111215756,-2.311117140417647
3.4525000000000005e-07,8.988099809995318e-07,-107.91634231383553,8.511881496677342e-07,-108.38918866938155,-2.226611462992375
3.5270000000000003e-07,8.288331730059992e-07,-108.6203575465643,8.966194858009488e-07,-107.93753658444282,-2.2535995543786087
3.6015000000000006e-07,9.038466508042091e-07,-107.86780498161576,8.051964351455662e-07,-108.87166317407099,-2.2059414810271694
3.6760000000000004e-07,7.49667737050022e-07,-109.4923236272288,7.258914798407189e-07,-109.77226606542172,-2.274565542953995
3.7505e-07,7.869020212070988e-07,-109.07128682687997,7.856253986063172e-07,-109.08538973575924,-2.1816353135858586
3.8250000000000004e-07,8.128936657357053e-07,-108.78902525459091,8.871935046963249e-07,-108.0293329712701,-2.227102471032344
3.8995e-07,8.557001613141971e-07,-108.34326776613459,8.685066305253499e-07,-108.21423727590556,-2.277276496684194
3.9740000000000005e-07,8.078937034330522e-07,-108.84261557661335,7.623446295855529e-07,-109.34667313909488,-2.091892454896332
4.0485000000000003e-07,7.240484392489303e-07,-109.79434760906332,7.403566774381721e-07,-109.60088008863679,-2.284247456172572
4.1230000000000006e-07,7.910692385987855e-07,-109.02541010474906,8.366632574042568e-07,-108.53868610160363,-2.2038114999977614
4.1975000000000004e-07,8.415400127531505e-07,-108.48820463879244,8.961379823036192e-07,-107.94220234254243,-2.243540904628333
4.272e-07,7.945529554032967e-07,-108.987243095613,8.254569724307075e-07,-108.65581123815396,-2.19490146488017
