Delay_us,Magnitude_linear,Fit_linear_at_x,Phase_rad,A_fit,T1_fit_us,C_fit
42.67240000000001,5.032444746392834e-07,5.076677204121507e-07,-2.5171372942061065,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
43.005700000000004,4.91329728021575e-07,5.075963325258827e-07,-2.513092453182498,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
43.339000000000006,5.324175634906502e-07,5.075280721089187e-07,-2.5657393752365567,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
43.67230000000001,5.405566595137353e-07,5.074628021483178e-07,-2.546680340203059,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
44.00560000000001,5.067738714384169e-07,5.074003916336107e-07,-2.5122742016996926,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
44.33890000000001,5.000107797305365e-07,5.073407152938343e-07,-2.4832317124321066,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
44.67220000000001,5.050378834027898e-07,5.072836533460871e-07,-2.535790428756124,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
45.005500000000005,4.779682453724763e-07,5.07229091255099e-07,-2.5640721757073255,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
45.338800000000006,4.7129725422994714e-07,5.071769195033357e-07,-2.5284005788241775,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
45.67210000000001,5.192884955926402e-07,5.071270333711742e-07,-2.58181016934311,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
46.00540000000001,4.940837619294002e-07,5.07079332726708e-07,-2.522554534193109,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
46.33870000000001,5.033509518706166e-07,5.070337218247618e-07,-2.5585751634884617,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
46.67200000000001,4.975273715313676e-07,5.06990109114711e-07,-2.5072354861364707,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
47.005300000000005,4.743849271017854e-07,5.069484070567201e-07,-2.531726516344937,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
47.33860000000001,4.819327207261671e-07,5.069085319460322e-07,-2.561237127069285,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
47.67190000000001,5.563483716656403e-07,5.068704037449559e-07,-2.4703891405690617,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
48.00520000000001,4.793817717101291e-07,5.068339459222129e-07,-2.510120105876537,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
48.33850000000001,4.835371646261249e-07,5.067990852993238e-07,-2.6076471281700804,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
48.67180000000001,5.196831623012519e-07,5.067657519037237e-07,-2.5712390485516337,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
